"","Spell","Rune"
"1","Furious Charge","Dreadnought"
"2","Ground Stomp","Wrenching Smash"
"3","Wrath of the Berserker","Striding Giant"
"4","Ignore Pain","Ignorance is Bliss"
"5","Battle Rage","Bloodshed"
"6","War Cry","Impunity"
"7","Ruthless","Passive"
"8","Berserker Rage","Passive"
"9","Rampage","Passive"
"10","Boon of Bul-Kathos","Passive"
"11","Frenzy","Maniac"
"12","Call of the Ancients","The Council Rises"
"13","Battle Rage","Bloodshed"
"14","Furious Charge","Battering Ram"
"15","War Cry","Impunity"
"16","Wrath of the Berserker","Insanity"
"17","Brawler","Passive"
"18","Boon of Bul-Kathos","Passive"
"19","Berserker Rage","Passive"
"20","Rampage","Passive"
"21","Call of the Ancients","Together as One"
"22","Furious Charge","Battering Ram"
"23","Battle Rage","Bloodshed"
"24","War Cry","Impunity"
"25","Ignore Pain","Iron Hide"
"26","Wrath of the Berserker","Insanity"
"27","Berserker Rage","Passive"
"28","Rampage","Passive"
"29","Brawler","Passive"
"30","Boon of Bul-Kathos","Passive"
"31","Whirlwind","Dust Devils"
"32","Rend","Bloodbath"
"33","Sprint","Run Like the Wind"
"34","Battle Rage","Bloodshed"
"35","Call of the Ancients","Ancients' Fury"
"36","Wrath of the Berserker","Insanity"
"37","Weapons Master","Passive"
"38","Ruthless","Passive"
"39","Rampage","Passive"
"40","Unforgiving","Passive"
"41","Whirlwind","Volcanic Eruption"
"42","Furious Charge","Merciless Assault"
"43","Sprint","Marathon"
"44","Battle Rage","Marauder's Rage"
"45","Overpower","Killing Spree"
"46","Call of the Ancients","The Council Rises"
"47","Ruthless","Passive"
"48","Weapons Master","Passive"
"49","Rampage","Passive"
"50","Brawler","Passive"
"51","Call of the Ancients","Ancients' Fury"
"52","Whirlwind","Dust Devils"
"53","Threatening Shout","Terrify"
"54","Sprint","Run Like the Wind"
"55","War Cry","Impunity"
"56","Wrath of the Berserker","Insanity"
"57","Unforgiving","Passive"
"58","Weapons Master","Passive"
"59","Rampage","Passive"
"60","Boon of Bul-Kathos","Passive"
"61","Call of the Ancients","Together as One"
"62","Wrath of the Berserker","Insanity"
"63","Ignore Pain","Ignorance is Bliss"
"64","Battle Rage","Bloodshed"
"65","Furious Charge","Battering Ram"
"66","War Cry","Impunity"
"67","Berserker Rage","Passive"
"68","Brawler","Passive"
"69","Superstition","Passive"
"70","Rampage","Passive"
"71","Call of the Ancients","The Council Rises"
"72","Wrath of the Berserker","Insanity"
"73","Battle Rage","Marauder's Rage"
"74","Sprint","Gangway"
"75","Whirlwind","Volcanic Eruption"
"76","War Cry","Impunity"
"77","Rampage","Passive"
"78","Unforgiving","Passive"
"79","Ruthless","Passive"
"80","Brawler","Passive"
"81","Ground Stomp","Wrenching Smash"
"82","Furious Charge","Battering Ram"
"83","Ignore Pain","Ignorance is Bliss"
"84","War Cry","Impunity"
"85","Battle Rage","Bloodshed"
"86","Wrath of the Berserker","Striding Giant"
"87","Superstition","Passive"
"88","Boon of Bul-Kathos","Passive"
"89","Rampage","Passive"
"90","Berserker Rage","Passive"
"91","Earthquake","Molten Fury"
"92","Leap","Death from Above"
"93","War Cry","Invigorate"
"94","Sprint","Forced March"
"95","Call of the Ancients","Together as One"
"96","Wrath of the Berserker","Insanity"
"97","Berserker Rage","Passive"
"98","Boon of Bul-Kathos","Passive"
"99","Rampage","Passive"
"100","Ruthless","Passive"
"101","Call of the Ancients","Together as One"
"102","War Cry","Impunity"
"103","Battle Rage","Bloodshed"
"104","Ignore Pain","Ignorance is Bliss"
"105","Furious Charge","Battering Ram"
"106","Wrath of the Berserker","Striding Giant"
"107","Brawler","Passive"
"108","Rampage","Passive"
"109","Berserker Rage","Passive"
"110","Boon of Bul-Kathos","Passive"
"111","Frenzy","Maniac"
"112","Wrath of the Berserker","Insanity"
"113","Call of the Ancients","The Council Rises"
"114","Battle Rage","Bloodshed"
