"","Spell","Rune"
"1","Elemental Arrow","Ball Lightning"
"2","Sentry","Polar Station"
"3","Marked for Death","Mortal Enemy"
"4","Vault","Tumble"
"5","Companion","Wolf Companion"
"6","Preparation","Focused Mind"
"7","Awareness","Passive"
"8","Cull the Weak","Passive"
"9","Night Stalker","Passive"
"10","Tactical Advantage","Passive"
"11","Elemental Arrow","Ball Lightning"
"12","Bolas","Thunder Ball"
"13","Marked for Death","Contagion"
"14","Caltrops","Bait the Trap"
"15","Companion","Sentry"
"16","Spitfire Turret","Cull the Weak"
"17","Steady Aim","Passive"
"18","Custom Engineering","Passive"
"19","Ambush","Passive"
"20",NA,"Passive"
"21","Elemental Arrow","Ball Lightning"
"22","Sentry","Polar Station"
"23","Smoke Screen","Lingering Fog"
"24","Preparation","Punishment"
"25","Marked for Death","Mortal Enemy"
"26","Companion","Wolf Companion"
"27","Awareness","Passive"
"28","Cull the Weak","Passive"
"29","Night Stalker","Passive"
"30","Custom Engineering","Passive"
"31","Elemental Arrow","Frost Arrow"
"32","Cluster Arrow","Maelstrom"
"33","Vault","Tumble"
"34","Sentry","Spitfire Turret"
"35","Multishot","Arsenal"
"36","Companion","Wolf Companion"
"37","Tactical Advantage","Passive"
"38","Ballistics","Passive"
"39","Ambush","Passive"
"40","Steady Aim","Passive"
"41","Marked for Death","Valley of Death"
"42","Elemental Arrow","Ball Lightning"
"43","Caltrops","Bait the Trap"
"44","Sentry","Polar Station"
"45","Bolas","Thunder Ball"
"46","Companion","Ambush"
"47","Custom Engineering","Passive"
"48","Cull the Weak","Passive"
"49","Steady Aim","Passive"
"50",NA,"Passive"
"51","Elemental Arrow","Frost Arrow"
"52","Multishot","Arsenal"
"53","Sentry","Spitfire Turret"
"54","Preparation","Punishment"
"55","Vault","Action Shot"
"56","Companion","Awareness"
"57","Cull the Weak","Passive"
"58","Hot Pursuit","Passive"
"59","Tactical Advantage","Passive"
"60",NA,"Passive"
"61","Elemental Arrow","Ball Lightning"
"62","Caltrops","Bait the Trap"
"63","Marked for Death","Valley of Death"
"64","Companion","Wolf Companion"
"65","Vault","Tumble"
"66","Sentry","Polar Station"
"67","Cull the Weak","Passive"
"68","Custom Engineering","Passive"
"69","Steady Aim","Passive"
"70","Archery","Passive"
"71","Elemental Arrow","Frost Arrow"
"72","Cluster Arrow","Maelstrom"
"73","Multishot","Arsenal"
"74","Vault","Tumble"
"75","Sentry","Spitfire Turret"
"76","Companion","Wolf Companion"
"77","Ballistics","Passive"
"78","Cull the Weak","Passive"
"79","Ambush","Passive"
"80","Steady Aim","Passive"
"81","Sentry","Spitfire Turret"
"82","Multishot","Arsenal"
"83","Cluster Arrow","Maelstrom"
"84","Vault","Tumble"
"85","Companion","Wolf Companion"
"86","Elemental Arrow","Frost Arrow"
"87","Steady Aim","Passive"
"88","Ballistics","Passive"
"89","Archery","Passive"
"90","Custom Engineering","Passive"
"91","Elemental Arrow","Frost Arrow"
"92","Multishot","Arsenal"
"93","Cluster Arrow","Maelstrom"
"94","Vault","Tumble"
"95","Sentry","Spitfire Turret"
"96","Companion","Wolf Companion"
"97","Cull the Weak","Passive"
"98","Awareness","Passive"
"99","Steady Aim","Passive"
"100","Ballistics","Passive"
"101","Elemental Arrow","Ball Lightning"
"102","Preparation","Punishment"
"103","Smoke Screen","Lingering Fog"
"104","Companion","Wolf Companion"
"105","Sentry","Polar Station"
"106","Marked for Death","Mortal Enemy"
"107","Night Stalker","Passive"
"108","Awareness","Passive"
"109","Archery","Passive"
"110","Cull the Weak","Passive"
"111","Elemental Arrow","Ball Lightning"
"112","Marked for Death","Mortal Enemy"
"113","Smoke Screen","Lingering Fog"
"114","Vengeance","Dark Heart"
"115","Sentry","Polar Station"
"116","Companion","Wolf Companion"
"117","Night Stalker","Passive"
"118","Cull the Weak","Passive"
"119","Custom Engineering","Passive"
"120","Archery","Passive"
"121","Elemental Arrow","Frost Arrow"
"122","Companion","Wolf Companion"
"123","Smoke Screen","Healing Vapors"
"124","Multishot","Arsenal"
"125","Sentry","Spitfire Turret"
"126","Cluster Arrow","Maelstrom"
"127","Steady Aim","Passive"
"128","Custom Engineering","Passive"
"129","Cull the Weak","Passive"
"130","Awareness","Passive"
"131","Elemental Arrow","Ball Lightning"
"132","Bolas","Thunder Ball"
"133","Companion","Wolf Companion"
"134","Caltrops","Bait the Trap"
"135","Marked for Death","Valley of Death"
"136","Sentry","Spitfire Turret"
"137","Cull the Weak","Passive"
"138","Ambush","Passive"
"139","Steady Aim","Passive"
"140","Custom Engineering","Passive"
"141","Elemental Arrow","Ball Lightning"
"142","Sentry","Spitfire Turret"
"143","Caltrops","Bait the Trap"
"144","Vault","Tumble"
"145","Companion","Wolf Companion"
"146","Marked for Death","Valley of Death"
"147","Awareness","Passive"
"148","Steady Aim","Passive"
"149","Cull the Weak","Passive"
"150","Custom Engineering","Passive"
"151","Bolas","Thunder Ball"
"152","Elemental Arrow","Ball Lightning"
"153","Caltrops","Bait the Trap"
"154","Sentry","Spitfire Turret"
"155","Marked for Death","Valley of Death"
"156","Companion","Wolf Companion"
"157","Cull the Weak","Passive"
"158","Single Out","Passive"
"159","Steady Aim","Passive"
"160","Awareness","Passive"
"161","Elemental Arrow","Ball Lightning"
"162","Marked for Death","Valley of Death"
"163","Companion","Wolf Companion"
"164","Caltrops","Bait the Trap"
"165","Bolas","Thunder Ball"
"166","Sentry","Spitfire Turret"
"167","Cull the Weak","Passive"
"168","Custom Engineering","Passive"
"169","Steady Aim","Passive"
"170","Awareness","Passive"
"171","Elemental Arrow","Ball Lightning"
"172","Bolas","Thunder Ball"
"173","Caltrops","Bait the Trap"
"174","Sentry","Polar Station"
"175","Cluster Arrow","Dazzling Arrow"
"176","Companion","Wolf Companion"
"177","Cull the Weak","Passive"
"178","Steady Aim","Passive"
"179","Custom Engineering","Passive"
"180","Awareness","Passive"
"181","Sentry","Spitfire Turret"
"182","Elemental Arrow","Frost Arrow"
"183","Multishot","Arsenal"
"184","Companion","Wolf Companion"
"185","Vault","Tumble"
"186","Cluster Arrow","Maelstrom"
"187","Tactical Advantage","Passive"
"188","Cull the Weak","Passive"
"189","Ballistics","Passive"
"190","Steady Aim","Passive"
"191","Multishot","Arsenal"
"192","Companion","Wolf Companion"
"193","Vault","Tumble"
"194","Cluster Arrow","Maelstrom"
"195","Sentry","Spitfire Turret"
"196","Elemental Arrow","Frost Arrow"
"197","Steady Aim","Passive"
"198","Cull the Weak","Passive"
"199","Ballistics","Passive"
"200","Ambush","Passive"
"201","Bolas","Thunder Ball"
"202","Sentry","Spitfire Turret"
"203","Caltrops","Bait the Trap"
"204","Elemental Arrow","Ball Lightning"
"205","Spike Trap","Lightning Rod"
"206","Companion","Wolf Companion"
"207","Custom Engineering","Passive"
"208","Steady Aim","Passive"
"209","Awareness","Passive"
"210","Cull the Weak","Passive"
"211","Elemental Arrow","Ball Lightning"
"212","Marked for Death","Contagion"
"213","Sentry","Polar Station"
"214","Preparation","Invigoration"
"215","Vault","Tumble"
"216","Companion","Wolf Companion"
"217","Awareness","Passive"
"218","Cull the Weak","Passive"
"219","Night Stalker","Passive"
"220","Tactical Advantage","Passive"
"221","Evasive Fire","Focus"
"222","Elemental Arrow","Ball Lightning"
"223","Sentry","Spitfire Turret"
"224","Caltrops","Bait the Trap"
"225","Marked for Death","Valley of Death"
"226","Companion","Wolf Companion"
"227","Cull the Weak","Passive"
"228","Custom Engineering","Passive"
"229","Awareness","Passive"
"230","Single Out","Passive"
"231","Cluster Arrow","Maelstrom"
"232","Elemental Arrow","Frost Arrow"
"233","Multishot","Arsenal"
"234","Sentry","Spitfire Turret"
"235","Companion","Wolf Companion"
"236","Vault","Tumble"
"237","Tactical Advantage","Passive"
"238","Archery","Passive"
"239","Awareness","Passive"
"240","Cull the Weak","Passive"
"241","Elemental Arrow","Frost Arrow"
"242","Cluster Arrow","Maelstrom"
"243","Vault","Tumble"
"244","Sentry","Spitfire Turret"
"245","Multishot","Arsenal"
"246","Companion","Archery"
"247","Ballistics","Passive"
"248","Steady Aim","Passive"
"249","Tactical Advantage","Passive"
"250",NA,"Passive"
"251","Elemental Arrow","Ball Lightning"
"252","Evasive Fire","Focus"
"253","Sentry","Spitfire Turret"
"254","Caltrops","Bait the Trap"
"255","Marked for Death","Valley of Death"
"256","Companion","Wolf Companion"
"257","Ambush","Passive"
"258","Cull the Weak","Passive"
"259","Custom Engineering","Passive"
"260","Steady Aim","Passive"
"261","Elemental Arrow","Ball Lightning"
"262","Sentry","Spitfire Turret"
"263","Bolas","Thunder Ball"
"264","Marked for Death","Contagion"
"265","Caltrops","Bait the Trap"
"266","Companion","Wolf Companion"
"267","Ambush","Passive"
"268","Cull the Weak","Passive"
"269","Custom Engineering","Passive"
"270","Awareness","Passive"
"271","Elemental Arrow","Ball Lightning"
"272","Marked for Death","Contagion"
"273","Companion","Wolf Companion"
"274","Caltrops","Bait the Trap"
"275","Sentry","Polar Station"
"276","Evasive Fire","Focus"
"277","Awareness","Passive"
"278","Archery","Passive"
"279","Custom Engineering","Passive"
"280","Steady Aim","Passive"
"281","Marked for Death","Valley of Death"
"282","Elemental Arrow","Ball Lightning"
"283","Cluster Arrow","Loaded for Bear"
"284","Sentry","Spitfire Turret"
"285","Companion","Wolf Companion"
"286","Caltrops","Bait the Trap"
"287","Cull the Weak","Passive"
"288","Custom Engineering","Passive"
"289","Steady Aim","Passive"
"290","Ambush","Passive"
"291","Sentry","Spitfire Turret"
"292","Elemental Arrow","Frost Arrow"
"293","Cluster Arrow","Maelstrom"
"294","Multishot","Arsenal"
"295","Vault","Tumble"
"296","Companion","Ferret Companion"
"297","Cull the Weak","Passive"
"298","Ambush","Passive"
"299","Ballistics","Passive"
"300","Tactical Advantage","Passive"
"301","Elemental Arrow","Frost Arrow"
"302","Cluster Arrow","Maelstrom"
"303","Companion","Wolf Companion"
"304","Vault","Tumble"
"305","Sentry","Spitfire Turret"
"306","Multishot","Arsenal"
"307","Awareness","Passive"
"308","Steady Aim","Passive"
"309","Ballistics","Passive"
"310","Ambush","Passive"
"311","Elemental Arrow","Frost Arrow"
"312","Cluster Arrow","Maelstrom"
"313","Sentry","Spitfire Turret"
"314","Companion","Wolf Companion"
"315","Vault","Tumble"
"316","Multishot","Arsenal"
"317","Cull the Weak","Passive"
"318","Custom Engineering","Passive"
"319","Awareness","Passive"
"320","Ballistics","Passive"
"321","Elemental Arrow","Ball Lightning"
"322","Marked for Death","Mortal Enemy"
"323","Caltrops","Bait the Trap"
"324","Companion","Wolf Companion"
"325","Vault","Tumble"
"326","Sentry","Spitfire Turret"
"327","Custom Engineering","Passive"
"328","Cull the Weak","Passive"
"329","Steady Aim","Passive"
"330","Awareness","Passive"
"331","Elemental Arrow","Ball Lightning"
"332","Marked for Death","Mortal Enemy"
"333","Sentry","Polar Station"
"334","Smoke Screen","Lingering Fog"
"335","Preparation","Punishment"
"336","Companion","Awareness"
"337","Night Stalker","Passive"
"338","Cull the Weak","Passive"
"339","Custom Engineering","Passive"
"340",NA,"Passive"
"341","Marked for Death","Valley of Death"
"342","Caltrops","Bait the Trap"
"343","Evasive Fire","Focus"
"344","Elemental Arrow","Ball Lightning"
"345","Sentry","Spitfire Turret"
"346","Companion","Wolf Companion"
"347","Steady Aim","Passive"
"348","Ambush","Passive"
"349","Archery","Passive"
"350","Cull the Weak","Passive"
"351","Elemental Arrow","Ball Lightning"
"352","Marked for Death","Mortal Enemy"
"353","Sentry","Polar Station"
"354","Preparation","Punishment"
"355","Smoke Screen","Lingering Fog"
"356","Companion","Custom Engineering"
"357","Awareness","Passive"
"358","Night Stalker","Passive"
"359","Cull the Weak","Passive"
"360",NA,"Passive"
"361","Elemental Arrow","Ball Lightning"
"362","Marked for Death","Mortal Enemy"
"363","Sentry","Spitfire Turret"
"364","Caltrops","Bait the Trap"
"365","Preparation","Punishment"
"366","Companion","Wolf Companion"
"367","Cull the Weak","Passive"
"368","Custom Engineering","Passive"
"369","Awareness","Passive"
"370","Steady Aim","Passive"
"371","Sentry","Spitfire Turret"
"372","Elemental Arrow","Frost Arrow"
"373","Cluster Arrow","Maelstrom"
"374","Companion","Ferret Companion"
"375","Vault","Tumble"
"376","Multishot","Arsenal"
"377","Tactical Advantage","Passive"
"378","Cull the Weak","Passive"
"379","Ballistics","Passive"
"380","Ambush","Passive"
"381","Multishot","Arsenal"
"382","Cluster Arrow","Maelstrom"
"383","Vault","Tumble"
"384","Elemental Arrow","Frost Arrow"
