"","Spell","Rune"
"1","Blizzard","Apocalypse"
"2","Black Hole","Blazar"
"3","Familiar","Sparkflint"
"4","Magic Weapon","Force Weapon"
"5","Teleport","Calamity"
"6","Energy Armor","Pinpoint Barrier"
"7","Glass Cannon","Passive"
"8","Illusionist","Passive"
"9","Unstable Anomaly","Passive"
"10","Elemental Exposure","Passive"
"11","Spectral Blade","Flame Blades"
"12","Frost Nova","Cold Snap"
"13","Black Hole","Event Horizon"
"14","Teleport","Safe Passage"
"15","Energy Armor","Prismatic Armor"
"16","Explosive Blast","Chain Reaction"
"17","Elemental Exposure","Passive"
"18","Illusionist","Passive"
"19","Blur","Passive"
"20","Unstable Anomaly","Passive"
"21","Blizzard","Apocalypse"
"22","Familiar","Sparkflint"
"23","Teleport","Calamity"
"24","Black Hole","Blazar"
"25","Ice Armor","Frozen Storm"
"26","Magic Weapon","Force Weapon"
"27","Glass Cannon","Passive"
"28","Elemental Exposure","Passive"
"29","Unstable Anomaly","Passive"
"30","Illusionist","Passive"
"31","Blizzard","Apocalypse"
"32","Magic Weapon","Force Weapon"
"33","Black Hole","Blazar"
"34","Teleport","Wormhole"
"35","Storm Armor","Scramble"
"36","Familiar","Sparkflint"
"37","Glass Cannon","Passive"
"38","Evocation","Passive"
"39","Illusionist","Passive"
"40","Dominance","Passive"
"41","Mirror Image","Duplicates"
"42","Teleport","Wormhole"
"43","Slow Time","Time Warp"
"44","Black Hole","Supermassive"
"45","Ice Armor","Frozen Storm"
"46","Frost Nova","Cold Snap"
"47","Elemental Exposure","Passive"
"48","Evocation","Passive"
"49","Unstable Anomaly","Passive"
"50","Cold Blooded","Passive"
"51","Spectral Blade","Flame Blades"
"52","Energy Armor","Pinpoint Barrier"
"53","Familiar","Sparkflint"
"54","Magic Weapon","Force Weapon"
"55","Slow Time","Stretch Time"
"56","Black Hole","Blazar"
"57","Unstable Anomaly","Passive"
"58","Galvanizing Ward","Passive"
"59","Evocation","Passive"
"60","Temporal Flux","Passive"
"61","Blizzard","Apocalypse"
"62","Magic Weapon","Force Weapon"
"63","Black Hole","Blazar"
"64","Energy Armor","Force Armor"
"65","Hydra","Mammoth Hydra"
"66","Teleport","Calamity"
"67","Blur","Passive"
"68","Glass Cannon","Passive"
"69","Illusionist","Passive"
"70","Unstable Anomaly","Passive"
"71","Meteor","Molten Impact"
"72","Blizzard","Apocalypse"
"73","Black Hole","Blazar"
"74","Teleport","Wormhole"
"75","Storm Armor","Scramble"
"76","Magic Weapon","Force Weapon"
"77","Dominance","Passive"
"78","Glass Cannon","Passive"
"79","Illusionist","Passive"
"80","Astral Presence","Passive"
"81","Hydra","Mammoth Hydra"
"82","Blizzard","Apocalypse"
"83","Teleport","Safe Passage"
"84","Energy Armor","Force Armor"
"85","Magic Weapon","Force Weapon"
"86","Black Hole","Blazar"
"87","Glass Cannon","Passive"
"88","Illusionist","Passive"
"89","Unstable Anomaly","Passive"
"90","Evocation","Passive"
"91","Blizzard","Apocalypse"
"92","Familiar","Arcanot"
"93","Teleport","Wormhole"
"94","Black Hole","Blazar"
"95","Magic Weapon","Force Weapon"
"96","Storm Armor","Scramble"
"97","Glass Cannon","Passive"
"98","Dominance","Passive"
"99","Evocation","Passive"
"100","Illusionist","Passive"
"101","Blizzard","Apocalypse"
"102","Hydra","Mammoth Hydra"
"103","Teleport","Wormhole"
"104","Black Hole","Blazar"
"105","Magic Weapon","Ignite"
"106","Energy Armor","Pinpoint Barrier"
"107","Glass Cannon","Passive"
"108","Illusionist","Passive"
"109","Unstable Anomaly","Passive"
"110","Conflagration","Passive"
"111","Spectral Blade","Flame Blades"
"112","Teleport","Calamity"
"113","Explosive Blast","Chain Reaction"
"114","Black Hole","Blazar"
"115","Magic Weapon","Force Weapon"
"116","Ice Armor","Frozen Storm"
"117","Evocation","Passive"
"118","Elemental Exposure","Passive"
"119","Illusionist","Passive"
"120","Audacity","Passive"
"121","Blizzard","Apocalypse"
"122","Storm Armor","Scramble"
"123","Black Hole","Blazar"
"124","Teleport","Wormhole"
"125","Magic Weapon","Force Weapon"
"126","Familiar","Arcanot"
"127","Illusionist","Passive"
"128","Blur","Passive"
"129","Elemental Exposure","Passive"
"130","Glass Cannon","Passive"
"131","Electrocute","Surge of Power"
"132","Arcane Orb","Frozen Orb"
"133","Familiar","Sparkflint"
"134","Teleport","Calamity"
"135","Magic Weapon","Deflection"
"136","Storm Armor","Power of the Storm"
"137","Prodigy","Passive"
"138","Glass Cannon","Passive"
"139","Galvanizing Ward","Passive"
"140","Elemental Exposure","Passive"
"141","Black Hole","Blazar"
"142","Hydra","Mammoth Hydra"
"143","Blizzard","Apocalypse"
"144","Teleport","Safe Passage"
"145","Energy Armor","Prismatic Armor"
"146","Magic Weapon","Force Weapon"
"147","Illusionist","Passive"
"148","Unstable Anomaly","Passive"
"149","Blur","Passive"
"150","Glass Cannon","Passive"
"151","Arcane Torrent","Cascade"
"152","Magic Weapon","Force Weapon"
"153","Diamond Skin","Sleek Shell"
"154","Energy Armor","Prismatic Armor"
"155","Archon","Teleport"
"156","Teleport","Wormhole"
"157","Blur","Passive"
"158","Evocation","Passive"
"159","Elemental Exposure","Passive"
"160","Audacity","Passive"
"161","Blizzard","Apocalypse"
"162","Meteor","Molten Impact"
"163","Teleport","Wormhole"
"164","Black Hole","Blazar"
"165","Magic Weapon","Force Weapon"
"166","Energy Armor","Pinpoint Barrier"
"167","Evocation","Passive"
"168","Dominance","Passive"
"169","Glass Cannon","Passive"
"170","Illusionist","Passive"
"171","Black Hole","Blazar"
"172","Teleport","Calamity"
"173","Hydra","Mammoth Hydra"
"174","Blizzard","Apocalypse"
"175","Energy Armor","Force Armor"
"176","Magic Weapon","Force Weapon"
"177","Unstable Anomaly","Passive"
"178","Elemental Exposure","Passive"
"179","Illusionist","Passive"
"180","Evocation","Passive"
"181","Black Hole","Blazar"
"182","Teleport","Safe Passage"
"183","Explosive Blast","Chain Reaction"
"184","Frost Nova","Cold Snap"
"185","Magic Weapon","Force Weapon"
"186","Energy Armor","Prismatic Armor"
"187","Blur","Passive"
"188","Unstable Anomaly","Passive"
"189","Dominance","Passive"
"190","Evocation","Passive"
"191","Spectral Blade","Flame Blades"
"192","Black Hole","Blazar"
"193","Teleport","Wormhole"
"194","Explosive Blast","Chain Reaction"
"195","Frost Nova","Bone Chill"
"196","Magic Weapon","Force Weapon"
"197","Blur","Passive"
"198","Audacity","Passive"
"199","Illusionist","Passive"
"200","Evocation","Passive"
"201","Black Hole","Blazar"
"202","Blizzard","Apocalypse"
"203","Meteor","Molten Impact"
"204","Magic Weapon","Force Weapon"
"205","Ice Armor","Frozen Storm"
"206","Teleport","Wormhole"
"207","Blur","Passive"
"208","Unstable Anomaly","Passive"
"209","Evocation","Passive"
"210","Illusionist","Passive"
"211","Meteor","Meteor Shower"
"212","Teleport","Calamity"
"213","Frost Nova","Cold Snap"
"214","Slow Time","Time Warp"
"215","Storm Armor","Power of the Storm"
"216","Familiar","Arcanot"
"217","Unwavering Will","Passive"
"218","Elemental Exposure","Passive"
"219","Evocation","Passive"
"220","Astral Presence","Passive"
"221","Magic Missile","Conflagrate"
"222","Black Hole","Spellsteal"
"223","Teleport","Wormhole"
"224","Magic Weapon","Force Weapon"
"225","Archon","Combustion"
"226","Energy Armor","Prismatic Armor"
"227","Blur","Passive"
"228","Elemental Exposure","Passive"
"229","Audacity","Passive"
"230","Evocation","Passive"
"231","Black Hole","Blazar"
"232","Blizzard","Apocalypse"
"233","Meteor","Molten Impact"
"234","Magic Weapon","Force Weapon"
"235","Familiar","Sparkflint"
"236","Teleport","Wormhole"
"237","Evocation","Passive"
"238","Illusionist","Passive"
"239","Glass Cannon","Passive"
"240","Elemental Exposure","Passive"
"241","Hydra","Mammoth Hydra"
"242","Blizzard","Apocalypse"
"243","Teleport","Wormhole"
"244","Black Hole","Blazar"
"245","Magic Weapon","Force Weapon"
"246","Energy Armor","Prismatic Armor"
"247","Unstable Anomaly","Passive"
"248","Elemental Exposure","Passive"
"249","Glass Cannon","Passive"
"250","Blur","Passive"
"251","Blizzard","Apocalypse"
"252","Hydra","Mammoth Hydra"
"253","Magic Weapon","Force Weapon"
"254","Teleport","Safe Passage"
"255","Black Hole","Blazar"
"256","Energy Armor","Prismatic Armor"
"257","Elemental Exposure","Passive"
"258","Illusionist","Passive"
"259","Unstable Anomaly","Passive"
"260","Blur","Passive"
"261","Blizzard","Apocalypse"
"262","Black Hole","Blazar"
"263","Teleport","Safe Passage"
"264","Hydra","Mammoth Hydra"
"265","Magic Weapon","Force Weapon"
"266","Energy Armor","Prismatic Armor"
"267","Glass Cannon","Passive"
"268","Illusionist","Passive"
"269","Unstable Anomaly","Passive"
"270","Elemental Exposure","Passive"
"271","Black Hole","Blazar"
"272","Blizzard","Apocalypse"
"273","Hydra","Mammoth Hydra"
"274","Teleport","Calamity"
"275","Energy Armor","Force Armor"
"276","Magic Weapon","Force Weapon"
"277","Unstable Anomaly","Passive"
"278","Elemental Exposure","Passive"
"279","Illusionist","Passive"
"280","Conflagration","Passive"
"281","Blizzard","Apocalypse"
"282","Familiar","Sparkflint"
"283","Black Hole","Blazar"
"284","Teleport","Wormhole"
"285","Magic Weapon","Force Weapon"
"286","Storm Armor","Scramble"
"287","Evocation","Passive"
"288","Illusionist","Passive"
"289","Glass Cannon","Passive"
"290","Dominance","Passive"
"291","Blizzard","Apocalypse"
"292","Black Hole","Blazar"
"293","Teleport","Safe Passage"
"294","Hydra","Mammoth Hydra"
"295","Magic Weapon","Force Weapon"
"296","Energy Armor","Prismatic Armor"
"297","Blur","Passive"
"298","Glass Cannon","Passive"
"299","Unstable Anomaly","Passive"
"300","Illusionist","Passive"
"301","Blizzard","Apocalypse"
"302","Hydra","Mammoth Hydra"
"303","Teleport","Safe Passage"
"304","Magic Weapon","Force Weapon"
"305","Black Hole","Blazar"
"306","Energy Armor","Force Armor"
"307","Unstable Anomaly","Passive"
"308","Evocation","Passive"
