"","Spell","Rune"
"1","Furious Charge","Stamina"
"2","War Cry","Impunity"
"3","Wrath of the Berserker","Insanity"
"4","Sprint","Forced March"
"5","Battle Rage","Bloodshed"
"6","Call of the Ancients","The Council Rises"
"7","Berserker Rage","Passive"
"8","Rampage","Passive"
"9","Ruthless","Passive"
"10","Boon of Bul-Kathos","Passive"
"11","Call of the Ancients","Together as One"
"12","Furious Charge","Merciless Assault"
"13","Battle Rage","Bloodshed"
"14","Overpower","Killing Spree"
"15","War Cry","Impunity"
"16","Wrath of the Berserker","Insanity"
"17","Berserker Rage","Passive"
"18","Ruthless","Passive"
"19","Rampage","Passive"
"20","Boon of Bul-Kathos","Passive"
"21","Ground Stomp","Wrenching Smash"
"22","Call of the Ancients","The Council Rises"
"23","Ignore Pain","Ignorance is Bliss"
"24","Battle Rage","Bloodshed"
"25","Furious Charge","Merciless Assault"
"26","Wrath of the Berserker","Insanity"
"27","Brawler","Passive"
"28","Berserker Rage","Passive"
"29","Ruthless","Passive"
"30","Rampage","Passive"
"31","Call of the Ancients","The Council Rises"
"32","Sprint","Forced March"
"33","Furious Charge","Merciless Assault"
"34","Battle Rage","Bloodshed"
"35","War Cry","Impunity"
"36","Wrath of the Berserker","Insanity"
"37","Berserker Rage","Passive"
"38","Rampage","Passive"
"39","Ruthless","Passive"
"40","Boon of Bul-Kathos","Passive"
"41","Furious Charge","Merciless Assault"
"42","Battle Rage","Bloodshed"
"43","Ignore Pain","Ignorance is Bliss"
"44","Overpower","Killing Spree"
"45","War Cry","Impunity"
"46","Wrath of the Berserker","Insanity"
"47","Boon of Bul-Kathos","Passive"
"48","Berserker Rage","Passive"
"49","Rampage","Passive"
"50","Brawler","Passive"
"51","Bash","Punish"
"52","Call of the Ancients","The Council Rises"
"53","Battle Rage","Bloodshed"
"54","Furious Charge","Merciless Assault"
"55","War Cry","Impunity"
"56","Wrath of the Berserker","Insanity"
"57","Ruthless","Passive"
"58","Boon of Bul-Kathos","Passive"
"59","Berserker Rage","Passive"
"60","Rampage","Passive"
"61","Call of the Ancients","The Council Rises"
"62","War Cry","Impunity"
"63","Battle Rage","Bloodshed"
"64","Sprint","Forced March"
"65","Furious Charge","Merciless Assault"
"66","Wrath of the Berserker","Insanity"
"67","Berserker Rage","Passive"
"68","Rampage","Passive"
"69","Ruthless","Passive"
"70","Boon of Bul-Kathos","Passive"
"71","Ruthless","Berserker Rage"
"72","Rampage","Boon of Bul-Kathos"
"73",NA,NA
"74",NA,NA
"75",NA,NA
"76",NA,NA
"77",NA,"Passive"
"78",NA,"Passive"
"79",NA,"Passive"
"80",NA,"Passive"
"81","Call of the Ancients","The Council Rises"
"82","Furious Charge","Merciless Assault"
"83","Battle Rage","Bloodshed"
"84","Ignore Pain","Ignorance is Bliss"
"85","War Cry","Impunity"
"86","Wrath of the Berserker","Insanity"
"87","Rampage","Passive"
"88","Berserker Rage","Passive"
"89","Boon of Bul-Kathos","Passive"
"90","Ruthless","Passive"
"91","Ground Stomp","Wrenching Smash"
"92","Furious Charge","Stamina"
"93","War Cry","Impunity"
"94","Wrath of the Berserker","Insanity"
"95","Sprint","Forced March"
"96","Battle Rage","Bloodshed"
"97","Berserker Rage","Passive"
"98","Ruthless","Passive"
"99","Rampage","Passive"
"100","Boon of Bul-Kathos","Passive"
"101","Seismic Slam","Shattered Ground"
"102","Furious Charge","Merciless Assault"
"103","War Cry","Hardened Wrath"
"104","Battle Rage","Marauder's Rage"
"105","Call of the Ancients","The Council Rises"
"106","Wrath of the Berserker","Insanity"
"107","Animosity","Passive"
"108","Unforgiving","Passive"
"109","Rampage","Passive"
"110","Ruthless","Passive"
"111","Bash","Punish"
"112","Whirlwind","Wind Shear"
"113","War Cry","Impunity"
"114","Call of the Ancients","The Council Rises"
"115","Battle Rage","Marauder's Rage"
"116","Wrath of the Berserker","Insanity"
"117","Berserker Rage","Passive"
"118","Brawler","Passive"
"119","Rampage","Passive"
"120","Superstition","Passive"
"121","Call of the Ancients","Together as One"
"122","Furious Charge","Battering Ram"
"123","Ignore Pain","Ignorance is Bliss"
"124","Battle Rage","Bloodshed"
"125","War Cry","Impunity"
"126","Wrath of the Berserker","Insanity"
"127","Rampage","Passive"
"128","Berserker Rage","Passive"
"129","Superstition","Passive"
"130","Boon of Bul-Kathos","Passive"
"131","Whirlwind","Volcanic Eruption"
"132","Furious Charge","Merciless Assault"
"133","Sprint","Marathon"
"134","Battle Rage","Marauder's Rage"
"135","Overpower","Killing Spree"
"136","Call of the Ancients","The Council Rises"
"137","Ruthless","Passive"
"138","Weapons Master","Passive"
"139","Rampage","Passive"
"140","Brawler","Passive"
"141","Bash","Punish"
"142","War Cry","Impunity"
"143","Battle Rage","Bloodshed"
"144","Furious Charge","Merciless Assault"
"145","Wrath of the Berserker","Insanity"
"146","Sprint","Marathon"
"147","Rampage","Passive"
"148","Boon of Bul-Kathos","Passive"
"149","Berserker Rage","Passive"
"150","Superstition","Passive"
"151","Call of the Ancients","The Council Rises"
"152","Battle Rage","Bloodshed"
"153","Ignore Pain","Iron Hide"
"154","Overpower","Killing Spree"
"155","Furious Charge","Merciless Assault"
"156","Wrath of the Berserker","Insanity"
"157","Ruthless","Passive"
"158","Boon of Bul-Kathos","Passive"
"159","Rampage","Passive"
"160","Berserker Rage","Passive"
"161","Call of the Ancients","The Council Rises"
"162","Battle Rage","Bloodshed"
"163","Furious Charge","Merciless Assault"
"164","War Cry","Impunity"
"165","Wrath of the Berserker","Insanity"
"166","Ignore Pain","Iron Hide"
"167","Ruthless","Passive"
"168","Berserker Rage","Passive"
"169","Boon of Bul-Kathos","Passive"
"170","Rampage","Passive"
"171","Call of the Ancients","Together as One"
"172","Ground Stomp","Wrenching Smash"
"173","Battle Rage","Bloodshed"
"174","Sprint","Forced March"
"175","Furious Charge","Stamina"
"176","Wrath of the Berserker","Insanity"
"177","Brawler","Passive"
"178","Ruthless","Passive"
"179","Boon of Bul-Kathos","Passive"
"180","Rampage","Passive"
"181","Frenzy","Maniac"
"182","Furious Charge","Merciless Assault"
"183","Battle Rage","Bloodshed"
"184","Sprint","Marathon"
"185","Call of the Ancients","The Council Rises"
"186","Wrath of the Berserker","Insanity"
"187","Ruthless","Passive"
"188","Boon of Bul-Kathos","Passive"
"189","Rampage","Passive"
"190","Berserker Rage","Passive"
"191","Cleave","Gathering Storm"
"192","Ancient Spear","Harpoon"
"193","Ground Stomp","Jarring Slam"
"194","Wrath of the Berserker","Striding Giant"
"195","War Cry","Impunity"
"196","Threatening Shout","Grim Harvest"
"197","Boon of Bul-Kathos","Passive"
"198","Superstition","Passive"
"199","Nerves of Steel","Passive"
"200","Tough as Nails","Passive"
"201","Furious Charge","Merciless Assault"
"202","Ignore Pain","Iron Hide"
"203","Wrath of the Berserker","Insanity"
"204","Battle Rage","Bloodshed"
"205","Frenzy","Maniac"
"206","Call of the Ancients","Together as One"
"207","Berserker Rage","Passive"
"208","Boon of Bul-Kathos","Passive"
"209","Ruthless","Passive"
"210","Rampage","Passive"
"211","Call of the Ancients","The Council Rises"
"212","Furious Charge","Battering Ram"
"213","Ignore Pain","Ignorance is Bliss"
