"","Spell","Rune"
"1","Earthquake","Cave-In"
"2","Leap","Death from Above"
"3","War Cry","Impunity"
"4","Ignore Pain","Ignorance is Bliss"
"5","Ancient Spear","Boulder Toss"
"6","Wrath of the Berserker","Insanity"
"7","Earthen Might","Passive"
"8","Boon of Bul-Kathos","Passive"
"9","Ruthless","Passive"
"10","Berserker Rage","Passive"
"11","Frenzy","Maniac"
"12","Furious Charge","Battering Ram"
"13","Call of the Ancients","Together as One"
"14","Battle Rage","Bloodshed"
"15","War Cry","Impunity"
"16","Wrath of the Berserker","Insanity"
"17","Ruthless","Passive"
"18","Berserker Rage","Passive"
"19","Superstition","Passive"
"20","Boon of Bul-Kathos","Passive"
"21","Frenzy","Maniac"
"22","Furious Charge","Battering Ram"
"23","War Cry","Impunity"
"24","Battle Rage","Bloodshed"
"25","Call of the Ancients","Together as One"
"26","Wrath of the Berserker","Insanity"
"27","Ruthless","Passive"
"28","Nerves of Steel","Passive"
"29","Superstition","Passive"
"30","Berserker Rage","Passive"
"31","Whirlwind","Blood Funnel"
"32","Furious Charge","Merciless Assault"
"33","Call of the Ancients","Together as One"
"34","Battle Rage","Bloodshed"
"35","War Cry","Impunity"
"36","Wrath of the Berserker","Insanity"
"37","Berserker Rage","Passive"
"38","Tough as Nails","Passive"
"39","Superstition","Passive"
"40","Inspiring Presence","Passive"
"41","Frenzy","Sidearm"
"42","Call of the Ancients","Together as One"
"43","Battle Rage","Bloodshed"
"44","Wrath of the Berserker","Insanity"
"45","Furious Charge","Dreadnought"
"46","War Cry","Impunity"
"47","Rampage","Passive"
"48","Inspiring Presence","Passive"
"49","Berserker Rage","Passive"
"50","Superstition","Passive"
"51","Frenzy","Maniac"
"52","Call of the Ancients","Together as One"
"53","Furious Charge","Battering Ram"
"54","War Cry","Impunity"
"55","Battle Rage","Bloodshed"
"56","Wrath of the Berserker","Insanity"
"57","Superstition","Passive"
"58","Nerves of Steel","Passive"
"59","Inspiring Presence","Passive"
"60","Berserker Rage","Passive"
"61","Call of the Ancients","Together as One"
"62","Sprint","Run Like the Wind"
"63","Battle Rage","Bloodshed"
"64","War Cry","Impunity"
"65","Furious Charge","Dreadnought"
"66","Wrath of the Berserker","Insanity"
"67","Nerves of Steel","Passive"
"68","Superstition","Passive"
"69","Tough as Nails","Passive"
"70","Berserker Rage","Passive"
"71","Hammer of the Ancients","Smash"
"72","Leap","Death from Above"
"73","Earthquake","Molten Fury"
"74","Call of the Ancients","Together as One"
"75","War Cry","Impunity"
"76","Ignore Pain","Ignorance is Bliss"
"77","Superstition","Passive"
"78","Earthen Might","Passive"
"79","Nerves of Steel","Passive"
"80","Inspiring Presence","Passive"
"81","Frenzy","Maniac"
"82","Furious Charge","Battering Ram"
"83","Battle Rage","Bloodshed"
"84","Ignore Pain","Contempt for Weakness"
"85","Wrath of the Berserker","Insanity"
"86","Call of the Ancients","The Council Rises"
"87","Boon of Bul-Kathos","Passive"
"88","Berserker Rage","Passive"
"89","Superstition","Passive"
"90","Rampage","Passive"
"91","Frenzy","Maniac"
"92","Furious Charge","Stamina"
"93","Battle Rage","Bloodshed"
"94","War Cry","Impunity"
"95","Wrath of the Berserker","Insanity"
"96","Call of the Ancients","Together as One"
"97","Berserker Rage","Passive"
"98","Ruthless","Passive"
"99","Rampage","Passive"
"100","Nerves of Steel","Passive"
"101","Whirlwind","Volcanic Eruption"
