"","Spell","Rune"
"1","Punish","Retaliate"
"2","Steed Charge","Endurance"
"3","Condemn","Vacuum"
"4","Provoke","Hit Me"
"5","Laws of Valor","Unstoppable Force"
"6","Akarat's Champion","Prophet"
"7","Heavenly Strength","Passive"
"8","Indestructible","Passive"
"9","Holy Cause","Passive"
"10","Finery","Passive"
"11","Heaven's Fury","Fires of Heaven"
"12","Provoke","Too Scared to Run"
"13","Shield Glare","Zealous Glare"
"14","Steed Charge","Endurance"
"15","Akarat's Champion","Prophet"
"16","Laws of Valor","Unstoppable Force"
"17","Heavenly Strength","Passive"
"18","Indestructible","Passive"
"19","Finery","Passive"
"20","Holy Cause","Passive"
"21","Phalanx","Stampede"
"22","Shield Glare","Zealous Glare"
"23","Steed Charge","Endurance"
"24","Provoke","Flee Fool"
"25","Laws of Valor","Unstoppable Force"
"26","Akarat's Champion","Prophet"
"27","Indestructible","Passive"
"28","Finery","Passive"
"29","Lord Commander","Passive"
"30","Heavenly Strength","Passive"
"31","Punish","Retaliate"
"32","Steed Charge","Endurance"
"33","Laws of Justice","Decaying Strength"
"34","Provoke","Hit Me"
"35","Condemn","Vacuum"
"36","Akarat's Champion","Prophet"
"37","Holy Cause","Passive"
"38","Indestructible","Passive"
"39","Heavenly Strength","Passive"
"40","Finery","Passive"
"41","Phalanx","Stampede"
"42","Judgment","Resolved"
"43","Steed Charge","Endurance"
"44","Akarat's Champion","Prophet"
"45","Provoke","Charged Up"
"46","Laws of Valor","Unstoppable Force"
"47","Holy Cause","Passive"
"48","Heavenly Strength","Passive"
"49","Lord Commander","Passive"
"50","Finery","Passive"
"51","Phalanx","Stampede"
"52","Akarat's Champion","Prophet"
"53","Shield Glare","Zealous Glare"
"54","Provoke","Too Scared to Run"
"55","Laws of Valor","Unstoppable Force"
"56","Steed Charge","Endurance"
"57","Heavenly Strength","Passive"
"58","Finery","Passive"
"59","Indestructible","Passive"
"60","Lord Commander","Passive"
"61","Slash","Zeal"
"62","Condemn","Vacuum"
"63","Akarat's Champion","Prophet"
"64","Provoke","Laws of Justice"
"65","Immovable Object","Steed Charge"
"66","Endurance","Heavenly Strength"
"67","Indestructible","Passive"
"68","Holy Cause","Passive"
"69","Finery","Passive"
"70",NA,"Passive"
"71","Phalanx","Stampede"
"72","Laws of Valor","Unstoppable Force"
"73","Steed Charge","Rejuvenation"
"74","Provoke","Too Scared to Run"
"75","Iron Skin","Steel Skin"
"76","Akarat's Champion","Prophet"
"77","Indestructible","Passive"
"78","Heavenly Strength","Passive"
"79","Long Arm of the Law","Passive"
"80","Lord Commander","Passive"
"81","Phalanx","Stampede"
"82","Shield Glare","Divine Verdict"
"83","Provoke","Cleanse"
"84","Laws of Valor","Unstoppable Force"
"85","Steed Charge","Endurance"
"86","Akarat's Champion","Prophet"
"87","Heavenly Strength","Passive"
"88","Finery","Passive"
"89","Indestructible","Passive"
"90","Lord Commander","Passive"
"91","Shield Glare","Zealous Glare"
"92","Phalanx","Stampede"
"93","Steed Charge","Endurance"
"94","Provoke","Charged Up"
"95","Laws of Valor","Unstoppable Force"
"96","Akarat's Champion","Prophet"
"97","Heavenly Strength","Passive"
"98","Indestructible","Passive"
"99","Finery","Passive"
"100","Lord Commander","Passive"
"101","Phalanx","Stampede"
"102","Provoke","Hit Me"
"103","Shield Glare","Divine Verdict"
"104","Steed Charge","Endurance"
"105","Laws of Valor","Critical"
"106","Akarat's Champion","Prophet"
"107","Heavenly Strength","Passive"
"108","Indestructible","Passive"
"109","Lord Commander","Passive"
"110","Finery","Passive"
"111","Phalanx","Stampede"
"112","Provoke","Charged Up"
"113","Steed Charge","Endurance"
"114","Akarat's Champion","Prophet"
"115","Iron Skin","Steel Skin"
"116","Laws of Valor","Unstoppable Force"
"117","Heavenly Strength","Passive"
"118","Long Arm of the Law","Passive"
"119","Indestructible","Passive"
"120","Lord Commander","Passive"
"121","Phalanx","Stampede"
"122","Akarat's Champion","Prophet"
"123","Provoke","Charged Up"
"124","Laws of Valor","Unstoppable Force"
"125","Iron Skin","Steel Skin"
"126","Steed Charge","Endurance"
"127","Heavenly Strength","Passive"
"128","Lord Commander","Passive"
"129","Indestructible","Passive"
"130","Finery","Passive"
"131","Slash","Zeal"
"132","Provoke","Too Scared to Run"
"133","Iron Skin","Flash"
"134","Laws of Valor","Critical"
"135","Condemn","Vacuum"
"136","Akarat's Champion","Prophet"
"137","Heavenly Strength","Passive"
"138","Indestructible","Passive"
"139","Finery","Passive"
"140","Holy Cause","Passive"
"141","Phalanx","Stampede"
"142","Shield Glare","Divine Verdict"
"143","Steed Charge","Endurance"
"144","Akarat's Champion","Prophet"
"145","Laws of Valor","Unstoppable Force"
"146","Provoke","Too Scared to Run"
"147","Heavenly Strength","Passive"
"148","Indestructible","Passive"
"149","Lord Commander","Passive"
"150","Finery","Passive"
"151","Shield Glare","Divine Verdict"
"152","Phalanx","Stampede"
"153","Steed Charge","Rejuvenation"
"154","Akarat's Champion","Prophet"
"155","Provoke","Flee Fool"
"156","Laws of Valor","Unstoppable Force"
"157","Indestructible","Passive"
