"","Spell","Rune"
"1","Cluster Arrow","Loaded for Bear"
"2","Vengeance","Personal Mortar"
"3","Caltrops","Bait the Trap"
"4","Sentry","Spitfire Turret"
"5","Marked for Death","Grim Reaper"
"6","Companion","Wolf Companion"
"7","Steady Aim","Passive"
"8","Custom Engineering","Passive"
"9","Cull the Weak","Passive"
"10","Ambush","Passive"
"11","Evasive Fire","Focus"
"12","Cluster Arrow","Shooting Stars"
"13","Preparation","Punishment"
"14","Vault","Rattling Roll"
"15","Companion","Sentry"
"16","Spitfire Turret","Ballistics"
"17","Awareness","Passive"
"18","Tactical Advantage","Passive"
"19","Custom Engineering","Passive"
"20",NA,"Passive"
"21","Cluster Arrow","Loaded for Bear"
"22","Vault","Tumble"
"23","Caltrops","Bait the Trap"
"24","Sentry","Polar Station"
"25","Preparation","Punishment"
"26","Companion","Wolf Companion"
"27","Custom Engineering","Passive"
"28","Awareness","Passive"
"29","Steady Aim","Passive"
"30","Single Out","Passive"
"31","Cluster Arrow","Cluster Bombs"
"32","Caltrops","Bait the Trap"
"33","Sentry","Spitfire Turret"
"34","Preparation","Punishment"
"35","Vault","Tumble"
"36","Companion","Cull the Weak"
"37","Custom Engineering","Passive"
"38","Blood Vengeance","Passive"
"39","Grenadier","Passive"
"40",NA,"Passive"
"41","Evasive Fire","Focus"
"42","Preparation","Punishment"
"43","Sentry","Polar Station"
"44","Companion","Wolf Companion"
"45","Cluster Arrow","Loaded for Bear"
"46","Vault","Tumble"
"47","Blood Vengeance","Passive"
"48","Cull the Weak","Passive"
"49","Custom Engineering","Passive"
"50","Awareness","Passive"
"51","Multishot","Arsenal"
"52","Sentry","Spitfire Turret"
"53","Companion","Wolf Companion"
"54","Vault","Trail of Cinders"
"55","Vengeance","Seethe"
"56","Preparation","Punishment"
"57","Awareness","Passive"
"58","Ballistics","Passive"
"59","Custom Engineering","Passive"
"60","Perfectionist","Passive"
"61","Sentry","Polar Station"
"62","Vault","Tumble"
"63","Preparation","Punishment"
"64","Companion","Evasive Fire"
"65","Focus","Cluster Arrow"
"66","Shooting Stars","Awareness"
"67","Custom Engineering","Passive"
"68","Ballistics","Passive"
"69","Cull the Weak","Passive"
"70",NA,"Passive"
"71","Cluster Arrow","Loaded for Bear"
