"","Spell","Rune"
"1","Evasive Fire","Focus"
"2","Cluster Arrow","Maelstrom"
"3","Preparation","Punishment"
"4","Vault","Tumble"
"5","Sentry","Polar Station"
"6","Companion","Wolf Companion"
"7","Ballistics","Passive"
"8","Custom Engineering","Passive"
"9","Awareness","Passive"
"10","Steady Aim","Passive"
"11","Entangling Shot","Justice is Served"
"12","Multishot","Arsenal"
"13","Sentry","Spitfire Turret"
"14","Vault","Trail of Cinders"
"15","Preparation","Punishment"
"16","Companion","Wolf Companion"
"17","Steady Aim","Passive"
"18","Custom Engineering","Passive"
"19","Ballistics","Passive"
"20","Awareness","Passive"
"21","Evasive Fire","Focus"
"22","Vault","Tumble"
"23","Companion","Wolf Companion"
"24","Cluster Arrow","Maelstrom"
"25","Sentry","Polar Station"
"26","Preparation","Punishment"
"27","Awareness","Passive"
"28","Custom Engineering","Passive"
"29","Steady Aim","Passive"
"30","Ballistics","Passive"
"31","Entangling Shot","Justice is Served"
"32","Multishot","Arsenal"
"33","Preparation","Punishment"
"34","Vault","Tumble"
"35","Companion","Wolf Companion"
"36","Sentry","Spitfire Turret"
"37","Steady Aim","Passive"
"38","Custom Engineering","Passive"
"39","Ballistics","Passive"
"40","Awareness","Passive"
"41","Elemental Arrow","Frost Arrow"
"42","Sentry","Spitfire Turret"
"43","Preparation","Punishment"
"44","Vault","Tumble"
"45","Cluster Arrow","Loaded for Bear"
"46","Companion","Wolf Companion"
"47","Cull the Weak","Passive"
"48","Custom Engineering","Passive"
"49","Awareness","Passive"
"50","Steady Aim","Passive"
"51","Marked for Death","Contagion"
"52","Multishot","Arsenal"
"53","Vault","Trail of Cinders"
"54","Sentry","Spitfire Turret"
"55","Preparation","Punishment"
"56","Companion","Wolf Companion"
"57","Awareness","Passive"
"58","Custom Engineering","Passive"
"59","Ballistics","Passive"
"60","Tactical Advantage","Passive"
"61","Evasive Fire","Focus"
"62","Cluster Arrow","Loaded for Bear"
"63","Vault","Tumble"
"64","Sentry","Polar Station"
"65","Preparation","Punishment"
"66","Companion","Wolf Companion"
"67","Awareness","Passive"
"68","Tactical Advantage","Passive"
"69","Blood Vengeance","Passive"
"70","Cull the Weak","Passive"
"71","Entangling Shot","Justice is Served"
"72","Vault","Tumble"
"73","Sentry","Spitfire Turret"
"74","Preparation","Punishment"
"75","Cluster Arrow","Loaded for Bear"
"76","Companion","Wolf Companion"
"77","Custom Engineering","Passive"
"78","Awareness","Passive"
"79","Ballistics","Passive"
"80","Blood Vengeance","Passive"
"81","Evasive Fire","Focus"
"82","Cluster Arrow","Maelstrom"
"83","Sentry","Polar Station"
"84","Vault","Tumble"
"85","Companion","Wolf Companion"
"86","Preparation","Punishment"
"87","Awareness","Passive"
"88","Ballistics","Passive"
"89","Custom Engineering","Passive"
"90","Cull the Weak","Passive"
"91","Evasive Fire","Focus"
"92","Cluster Arrow","Maelstrom"
"93","Sentry","Polar Station"
"94","Companion","Boar Companion"
"95","Preparation","Punishment"
"96","Vault","Tumble"
"97","Awareness","Passive"
"98","Custom Engineering","Passive"
"99","Ballistics","Passive"
"100","Steady Aim","Passive"
"101","Evasive Fire","Focus"
"102","Cluster Arrow","Maelstrom"
"103","Preparation","Punishment"
"104","Vault","Tumble"
"105","Sentry","Polar Station"
"106","Companion","Wolf Companion"
"107","Custom Engineering","Passive"
"108","Awareness","Passive"
"109","Cull the Weak","Passive"
"110","Steady Aim","Passive"
"111","Evasive Fire","Focus"
"112","Cluster Arrow","Maelstrom"
"113","Sentry","Polar Station"
"114","Companion","Wolf Companion"
"115","Caltrops","Bait the Trap"
"116","Preparation","Punishment"
"117","Awareness","Passive"
"118","Custom Engineering","Passive"
"119","Ballistics","Passive"
"120","Cull the Weak","Passive"
"121","Entangling Shot","Justice is Served"
"122","Multishot","Arsenal"
"123","Sentry","Spitfire Turret"
"124","Vault","Tumble"
"125","Companion","Preparation"
"126","Punishment","Awareness"
"127","Ballistics","Passive"
"128","Custom Engineering","Passive"
"129","Steady Aim","Passive"
"130",NA,"Passive"
"131","Multishot","Arsenal"
"132","Sentry","Spitfire Turret"
"133","Vault","Tumble"
"134","Vengeance","Seethe"
"135","Preparation","Punishment"
"136","Companion","Boar Companion"
"137","Steady Aim","Passive"
"138","Custom Engineering","Passive"
"139","Awareness","Passive"
"140","Ballistics","Passive"
"141","Multishot","Arsenal"
"142","Marked for Death","Contagion"
"143","Vault","Trail of Cinders"
"144","Preparation","Punishment"
"145","Companion","Wolf Companion"
"146","Sentry","Polar Station"
"147","Custom Engineering","Passive"
"148","Steady Aim","Passive"
"149","Ballistics","Passive"
"150","Awareness","Passive"
"151","Evasive Fire","Focus"
"152","Cluster Arrow","Maelstrom"
"153","Vault","Tumble"
"154","Sentry","Polar Station"
"155","Preparation","Punishment"
"156","Companion","Wolf Companion"
"157","Ballistics","Passive"
"158","Steady Aim","Passive"
"159","Awareness","Passive"
"160","Custom Engineering","Passive"
"161","Evasive Fire","Focus"
"162","Cluster Arrow","Maelstrom"
"163","Preparation","Punishment"
"164","Vault","Tumble"
"165","Sentry","Polar Station"
"166","Companion","Wolf Companion"
"167","Ballistics","Passive"
"168","Custom Engineering","Passive"
"169","Awareness","Passive"
"170","Steady Aim","Passive"
"171","Evasive Fire","Focus"
"172","Vault","Tumble"
"173","Preparation","Punishment"
"174","Cluster Arrow","Maelstrom"
"175","Sentry","Polar Station"
"176","Companion","Wolf Companion"
"177","Cull the Weak","Passive"
"178","Awareness","Passive"
"179","Steady Aim","Passive"
"180","Custom Engineering","Passive"
"181","Evasive Fire","Focus"
"182","Multishot","Arsenal"
