"","Spell","Rune"
"1","Lashing Tail Kick","Vulture Claw Kick"
"2","Sweeping Wind","Inner Storm"
"3","Epiphany","Insight"
"4","Dashing Strike","Blinding Speed"
"5","Exploding Palm","Shocking Grasp"
"6","Mantra of Salvation","Perseverance"
"7","Harmony","Passive"
"8","Unity","Passive"
"9","Near Death Experience","Passive"
"10","Beacon of Ytar","Passive"
"11","Crippling Wave","Tsunami"
"12","Dashing Strike","Blinding Speed"
"13","Epiphany","Desert Shroud"
"14","Inner Sanctuary","Forbidden Palace"
"15","Cyclone Strike","Implosion"
"16","Mantra of Conviction","Dishearten"
"17","Near Death Experience","Passive"
"18","Sixth Sense","Passive"
"19","Harmony","Passive"
"20","Beacon of Ytar","Passive"
"21","Wave of Light","Pillar of the Ancients"
"22","Mystic Ally","Air Ally"
"23","Dashing Strike","Quicksilver"
"24","Sweeping Wind","Inner Storm"
"25","Epiphany","Desert Shroud"
"26","Mantra of Conviction","Annihilation"
"27","Near Death Experience","Passive"
"28","Beacon of Ytar","Passive"
"29","Unity","Passive"
"30","Harmony","Passive"
"31","Exploding Palm","Impending Doom"
"32","Cyclone Strike","Implosion"
"33","Dashing Strike","Quicksilver"
"34","Serenity","Ascension"
"35","Epiphany","Insight"
"36","Mantra of Salvation","Agility"
"37","Harmony","Passive"
"38","Near Death Experience","Passive"
"39","Sixth Sense","Passive"
"40","Beacon of Ytar","Passive"
"41","Wave of Light","Pillar of the Ancients"
"42","Sweeping Wind","Inner Storm"
"43","Dashing Strike","Way of the Falling Star"
"44","Blinding Flash","Faith in the Light"
"45","Mystic Ally","Air Ally"
"46","Epiphany","Soothing Mist"
"47","Unity","Passive"
"48","Transcendence","Passive"
"49","Near Death Experience","Passive"
"50","Beacon of Ytar","Passive"
"51","Wave of Light","Pillar of the Ancients"
"52","Dashing Strike","Quicksilver"
"53","Sweeping Wind","Inner Storm"
"54","Epiphany","Desert Shroud"
"55","Mystic Ally","Fire Ally"
"56","Blinding Flash","Faith in the Light"
"57","Exalted Soul","Passive"
"58","Beacon of Ytar","Passive"
"59","Harmony","Passive"
"60","Near Death Experience","Passive"
"61","Cyclone Strike","Implosion"
"62","Dashing Strike","Blinding Speed"
"63","Inner Sanctuary","Forbidden Palace"
"64","Mantra of Conviction","Dishearten"
"65","Serenity","Tranquility"
"66","Epiphany","Desert Shroud"
"67","The Guardian's Path","Passive"
"68","Harmony","Passive"
"69","Beacon of Ytar","Passive"
"70","Near Death Experience","Passive"
"71","Wave of Light","Pillar of the Ancients"
"72","Exploding Palm","Shocking Grasp"
"73","Dashing Strike","Radiance"
"74","Serenity","Ascension"
"75","Blinding Flash","Replenishing Light"
"76","Epiphany","Insight"
"77","Beacon of Ytar","Passive"
"78","Relentless Assault","Passive"
"79","Near Death Experience","Passive"
"80","Harmony","Passive"
"81","Wave of Light","Pillar of the Ancients"
"82","Dashing Strike","Quicksilver"
"83","Serenity","Ascension"
"84","Sweeping Wind","Inner Storm"
"85","Epiphany","Insight"
"86","Mystic Ally","Air Ally"
"87","Near Death Experience","Passive"
"88","Unity","Passive"
"89","Beacon of Ytar","Passive"
"90","Harmony","Passive"
"91","Exploding Palm","Shocking Grasp"
"92","Wave of Light","Pillar of the Ancients"
"93","Mantra of Conviction","Annihilation"
"94","Dashing Strike","Way of the Falling Star"
"95","Blinding Flash","Faith in the Light"
"96","Epiphany","Insight"
"97","Beacon of Ytar","Passive"
"98","Harmony","Passive"
"99","Near Death Experience","Passive"
"100","Relentless Assault","Passive"
"101","Wave of Light","Explosive Light"
"102","Mystic Ally","Air Ally"
"103","Dashing Strike","Blinding Speed"
"104","Sweeping Wind","Inner Storm"
"105","Epiphany","Desert Shroud"
"106","Mantra of Salvation","Agility"
"107","Near Death Experience","Passive"
"108","Harmony","Passive"
"109","Sixth Sense","Passive"
"110","Beacon of Ytar","Passive"
"111","Cyclone Strike","Eye of the Storm"
"112","Exploding Palm","Shocking Grasp"
"113","Dashing Strike","Blinding Speed"
"114","Epiphany","Desert Shroud"
"115","Mystic Ally","Air Ally"
"116","Mantra of Salvation","Hard Target"
"117","Unity","Passive"
"118","Harmony","Passive"
"119","Sixth Sense","Passive"
"120","Beacon of Ytar","Passive"
"121","Wave of Light","Pillar of the Ancients"
"122","Epiphany","Insight"
