"","Spell","Rune"
"1","Furious Charge","Battering Ram"
"2","Call of the Ancients","The Council Rises"
"3","Sprint","Forced March"
"4","Ignore Pain","Ignorance is Bliss"
"5","Battle Rage","Bloodshed"
"6","War Cry","Impunity"
"7","Brawler","Passive"
"8","Berserker Rage","Passive"
"9","Rampage","Passive"
"10","Unforgiving","Passive"
"11","Call of the Ancients","Together as One"
"12","War Cry","Impunity"
"13","Battle Rage","Ferocity"
"14","Furious Charge","Merciless Assault"
"15","Ignore Pain","Ignorance is Bliss"
"16","Wrath of the Berserker","Striding Giant"
"17","Brawler","Passive"
"18","Superstition","Passive"
"19","Berserker Rage","Passive"
"20","Rampage","Passive"
"21","Call of the Ancients","Together as One"
"22","Furious Charge","Battering Ram"
"23","Battle Rage","Bloodshed"
"24","War Cry","Impunity"
"25","Ignore Pain","Iron Hide"
"26","Wrath of the Berserker","Insanity"
"27","Berserker Rage","Passive"
"28","Rampage","Passive"
"29","Brawler","Passive"
"30","Boon of Bul-Kathos","Passive"
"31","Whirlwind","Volcanic Eruption"
"32","Furious Charge","Merciless Assault"
"33","Sprint","Marathon"
"34","Battle Rage","Marauder's Rage"
"35","Overpower","Killing Spree"
"36","Call of the Ancients","The Council Rises"
"37","Ruthless","Passive"
"38","Weapons Master","Passive"
"39","Rampage","Passive"
"40","Brawler","Passive"
"41","Call of the Ancients","Ancients' Fury"
"42","Whirlwind","Dust Devils"
"43","Threatening Shout","Terrify"
"44","Sprint","Run Like the Wind"
"45","War Cry","Impunity"
"46","Wrath of the Berserker","Insanity"
"47","Unforgiving","Passive"
"48","Weapons Master","Passive"
"49","Rampage","Passive"
"50","Boon of Bul-Kathos","Passive"
"51","Call of the Ancients","Together as One"
"52","Wrath of the Berserker","Striding Giant"
"53","Ignore Pain","Ignorance is Bliss"
"54","Battle Rage","Bloodshed"
"55","Furious Charge","Cold Rush"
"56","War Cry","Impunity"
"57","Superstition","Passive"
"58","Brawler","Passive"
"59","Berserker Rage","Passive"
"60","Rampage","Passive"
"61","Whirlwind","Dust Devils"
"62","Rend","Bloodbath"
"63","Sprint","Run Like the Wind"
"64","Battle Rage","Bloodshed"
"65","Call of the Ancients","Ancients' Fury"
"66","Wrath of the Berserker","Insanity"
"67","Weapons Master","Passive"
"68","Ruthless","Passive"
"69","Rampage","Passive"
"70","Unforgiving","Passive"
"71","Frenzy","Maniac"
"72","Furious Charge","Battering Ram"
"73","Sprint","Marathon"
"74","War Cry","Impunity"
"75","Call of the Ancients","The Council Rises"
"76","Wrath of the Berserker","Insanity"
"77","Ruthless","Passive"
"78","Boon of Bul-Kathos","Passive"
"79","Rampage","Passive"
"80","Brawler","Passive"
"81","Earthquake","Molten Fury"
"82","Leap","Death from Above"
"83","War Cry","Invigorate"
"84","Sprint","Forced March"
"85","Call of the Ancients","Together as One"
"86","Wrath of the Berserker","Insanity"
"87","Berserker Rage","Passive"
"88","Boon of Bul-Kathos","Passive"
"89","Rampage","Passive"
"90","Ruthless","Passive"
"91","Call of the Ancients","Together as One"
"92","War Cry","Impunity"
"93","Battle Rage","Bloodshed"
"94","Ignore Pain","Ignorance is Bliss"
"95","Furious Charge","Battering Ram"
"96","Wrath of the Berserker","Insanity"
"97","Brawler","Passive"
"98","Rampage","Passive"
"99","Berserker Rage","Passive"
"100","Boon of Bul-Kathos","Passive"
"101","Frenzy","Maniac"
"102","Wrath of the Berserker","Insanity"
"103","Call of the Ancients","The Council Rises"
"104","Battle Rage","Bloodshed"
"105","Furious Charge","Battering Ram"
"106","War Cry","Impunity"
"107","Berserker Rage","Passive"
"108","Weapons Master","Passive"
"109","Boon of Bul-Kathos","Passive"
"110","Rampage","Passive"
"111","Call of the Ancients","Together as One"
"112","Furious Charge","Cold Rush"
"113","War Cry","Impunity"
"114","Wrath of the Berserker","Insanity"
"115","Ignore Pain","Iron Hide"
"116","Battle Rage","Bloodshed"
"117","Berserker Rage","Passive"
"118","Ruthless","Passive"
"119","Rampage","Passive"
"120","Boon of Bul-Kathos","Passive"
"121","Avalanche","Glacier"
"122","Leap","Call of Arreat"
"123","Sprint","Forced March"
"124","War Cry","Impunity"
"125","Earthquake","Chilling Earth"
"126","Wrath of the Berserker","Striding Giant"
"127","Earthen Might","Passive"
"128","Bloodthirst","Passive"
"129","Boon of Bul-Kathos","Passive"
"130","Unforgiving","Passive"
"131","Call of the Ancients","The Council Rises"
"132","War Cry","Impunity"
"133","Furious Charge","Battering Ram"
"134","Frenzy","Maniac"
"135","Battle Rage","Bloodshed"
"136","Wrath of the Berserker","Insanity"
"137","Rampage","Passive"
"138","Boon of Bul-Kathos","Passive"
"139","Berserker Rage","Passive"
"140","Brawler","Passive"
"141","Call of the Ancients","Together as One"
"142","Furious Charge","Merciless Assault"
"143","Ignore Pain","Iron Hide"
"144","War Cry","Impunity"
"145","Battle Rage","Bloodshed"
"146","Wrath of the Berserker","Striding Giant"
"147","Ruthless","Passive"
"148","Boon of Bul-Kathos","Passive"
"149","Berserker Rage","Passive"
"150","Superstition","Passive"
"151","Call of the Ancients","Together as One"
"152","Furious Charge","Stamina"
"153","Battle Rage","Bloodshed"
"154","War Cry","Impunity"
"155","Wrath of the Berserker","Striding Giant"
"156","Ignore Pain","Iron Hide"
"157","Brawler","Passive"
"158","Boon of Bul-Kathos","Passive"
"159","Superstition","Passive"
"160","Bloodthirst","Passive"
"161","Call of the Ancients","The Council Rises"
"162","Furious Charge","Merciless Assault"
"163","War Cry","Impunity"
"164","Battle Rage","Bloodshed"
"165","Sprint","Forced March"
"166","Wrath of the Berserker","Insanity"
"167","Rampage","Passive"
"168","Brawler","Passive"
"169","Berserker Rage","Passive"
"170","Boon of Bul-Kathos","Passive"
"171","Call of the Ancients","Together as One"
"172","War Cry","Impunity"
"173","Battle Rage","Bloodshed"
"174","Wrath of the Berserker","Striding Giant"
"175","Ignore Pain","Iron Hide"
"176","Furious Charge","Stamina"
"177","Boon of Bul-Kathos","Passive"
"178","Rampage","Passive"
"179","Superstition","Passive"
"180","Berserker Rage","Passive"
"181","Call of the Ancients","The Council Rises"
"182","Leap","Death from Above"
"183","War Cry","Charge!"
"184","Sprint","Marathon"
"185","Earthquake","Molten Fury"
"186","Wrath of the Berserker","Insanity"
"187","Rampage","Passive"
"188","Ruthless","Passive"
"189","Boon of Bul-Kathos","Passive"
"190","Superstition","Passive"
"191","Earthquake","Molten Fury"
"192","Ground Stomp","Wrenching Smash"
"193","Leap","Death from Above"
"194","Call of the Ancients","The Council Rises"
"195","War Cry","Invigorate"
"196","Wrath of the Berserker","Insanity"
"197","Berserker Rage","Passive"
"198","Brawler","Passive"
"199","Rampage","Passive"
"200","Ruthless","Passive"
"201","Earthquake","Molten Fury"
"202","Leap","Call of Arreat"
"203","Ignore Pain","Ignorance is Bliss"
"204","Battle Rage","Bloodshed"
"205","War Cry","Impunity"
"206","Wrath of the Berserker","Insanity"
"207","Boon of Bul-Kathos","Passive"
"208","Superstition","Passive"
"209","Brawler","Passive"
"210","Ruthless","Passive"
"211","Whirlwind","Dust Devils"
"212","Call of the Ancients","Ancients' Fury"
"213","War Cry","Charge!"
"214","Sprint","Run Like the Wind"
"215","Furious Charge","Merciless Assault"
"216","Battle Rage","Bloodshed"
"217","Unforgiving","Passive"
"218","Animosity","Passive"
"219","Rampage","Passive"
"220","Weapons Master","Passive"
"221","Call of the Ancients","Together as One"
"222","Wrath of the Berserker","Striding Giant"
"223","War Cry","Impunity"
"224","Furious Charge","Dreadnought"
"225","Battle Rage","Into the Fray"
"226","Ignore Pain","Ignorance is Bliss"
"227","Superstition","Passive"
"228","Tough as Nails","Passive"
"229","Nerves of Steel","Passive"
"230","Relentless","Passive"
"231","Call of the Ancients","Together as One"
"232","Battle Rage","Bloodshed"
"233","Furious Charge","Merciless Assault"
"234","Ignore Pain","Iron Hide"
"235","War Cry","Impunity"
"236","Wrath of the Berserker","Insanity"
"237","Berserker Rage","Passive"
"238","Boon of Bul-Kathos","Passive"
"239","Ruthless","Passive"
"240","Rampage","Passive"
"241","Frenzy","Vanguard"
"242","Furious Charge","Battering Ram"
"243","War Cry","Impunity"
"244","Call of the Ancients","The Council Rises"
"245","Battle Rage","Bloodshed"
"246","Wrath of the Berserker","Insanity"
"247","Rampage","Passive"
"248","Brawler","Passive"
"249","Berserker Rage","Passive"
"250","Boon of Bul-Kathos","Passive"
"251","Call of the Ancients","The Council Rises"
"252","Battle Rage","Bloodshed"
"253","Furious Charge","Battering Ram"
"254","War Cry","Impunity"
"255","Wrath of the Berserker","Insanity"
"256","Sprint","Forced March"
