"","Spell","Rune"
"1","Black Hole","Blazar"
"2","Teleport","Wormhole"
"3","Blizzard","Apocalypse"
"4","Hydra","Mammoth Hydra"
"5","Magic Weapon","Force Weapon"
"6","Energy Armor","Pinpoint Barrier"
"7","Illusionist","Passive"
"8","Astral Presence","Passive"
"9","Dominance","Passive"
"10","Glass Cannon","Passive"
"11","Hydra","Mammoth Hydra"
"12","Teleport","Safe Passage"
"13","Energy Armor","Prismatic Armor"
"14","Black Hole","Blazar"
"15","Blizzard","Apocalypse"
"16","Magic Weapon","Conduit"
"17","Unstable Anomaly","Passive"
"18","Blur","Passive"
"19","Illusionist","Passive"
"20","Glass Cannon","Passive"
"21","Spectral Blade","Flame Blades"
"22","Frost Nova","Bone Chill"
"23","Black Hole","Blazar"
"24","Teleport","Wormhole"
"25","Magic Weapon","Force Weapon"
"26","Explosive Blast","Chain Reaction"
"27","Elemental Exposure","Passive"
"28","Glass Cannon","Passive"
"29","Audacity","Passive"
"30","Illusionist","Passive"
"31","Blizzard","Apocalypse"
"32","Black Hole","Blazar"
"33","Storm Armor","Scramble"
"34","Magic Weapon","Force Weapon"
"35","Familiar","Arcanot"
"36","Teleport","Wormhole"
"37","Illusionist","Passive"
"38","Evocation","Passive"
"39","Dominance","Passive"
"40","Astral Presence","Passive"
"41","Arcane Torrent","Cascade"
"42","Magic Weapon","Force Weapon"
"43","Black Hole","Spellsteal"
"44","Energy Armor","Prismatic Armor"
"45","Archon","Improved Archon"
"46","Teleport","Wormhole"
"47","Blur","Passive"
"48","Evocation","Passive"
"49","Elemental Exposure","Passive"
"50","Audacity","Passive"
"51","Magic Missile","Conflagrate"
"52","Black Hole","Spellsteal"
"53","Energy Armor","Prismatic Armor"
"54","Magic Weapon","Force Weapon"
"55","Teleport","Wormhole"
"56","Archon","Combustion"
"57","Audacity","Passive"
"58","Blur","Passive"
"59","Elemental Exposure","Passive"
"60","Evocation","Passive"
"61","Arcane Torrent","Flame Ward"
"62","Archon","Teleport"
"63","Calamity","Energy Armor"
"64","Pinpoint Barrier","Magic Weapon"
"65","Force Weapon","Black Hole"
"66","Spellsteal","Audacity"
"67","Unwavering Will","Passive"
"68","Evocation","Passive"
"69","Blur","Passive"
"70",NA,"Passive"
"71","Blizzard","Apocalypse"
"72","Black Hole","Blazar"
"73","Teleport","Wormhole"
"74","Hydra","Mammoth Hydra"
"75","Magic Weapon","Force Weapon"
"76","Energy Armor","Force Armor"
"77","Glass Cannon","Passive"
"78","Illusionist","Passive"
"79","Unstable Anomaly","Passive"
"80","Evocation","Passive"
"81","Blizzard","Apocalypse"
"82","Magic Weapon","Force Weapon"
"83","Black Hole","Blazar"
"84","Hydra","Mammoth Hydra"
"85","Teleport","Wormhole"
"86","Storm Armor","Scramble"
"87","Blur","Passive"
"88","Glass Cannon","Passive"
"89","Illusionist","Passive"
"90","Unstable Anomaly","Passive"
"91","Hydra","Mammoth Hydra"
"92","Blizzard","Apocalypse"
"93","Teleport","Safe Passage"
"94","Black Hole","Blazar"
"95","Magic Weapon","Force Weapon"
"96","Energy Armor","Force Armor"
"97","Evocation","Passive"
"98","Unstable Anomaly","Passive"
"99","Blur","Passive"
"100","Illusionist","Passive"
"101","Magic Missile","Conflagrate"
"102","Magic Weapon","Force Weapon"
"103","Black Hole","Spellsteal"
"104","Teleport","Wormhole"
"105","Archon","Combustion"
"106","Energy Armor","Prismatic Armor"
"107","Unwavering Will","Passive"
"108","Audacity","Passive"
"109","Evocation","Passive"
"110","Elemental Exposure","Passive"
"111","Black Hole","Blazar"
"112","Magic Weapon","Force Weapon"
"113","Blizzard","Apocalypse"
"114","Teleport","Wormhole"
"115","Energy Armor","Force Armor"
"116","Hydra","Mammoth Hydra"
"117","Evocation","Passive"
"118","Illusionist","Passive"
"119","Dominance","Passive"
"120","Unstable Anomaly","Passive"
"121","Blizzard","Apocalypse"
"122","Black Hole","Blazar"
"123","Hydra","Mammoth Hydra"
"124","Magic Weapon","Force Weapon"
"125","Energy Armor","Prismatic Armor"
"126","Teleport","Safe Passage"
"127","Blur","Passive"
"128","Glass Cannon","Passive"
"129","Unstable Anomaly","Passive"
"130","Illusionist","Passive"
"131","Blizzard","Apocalypse"
"132","Magic Weapon","Conduit"
"133","Black Hole","Blazar"
"134","Teleport","Wormhole"
"135","Energy Armor","Prismatic Armor"
"136","Familiar","Sparkflint"
"137","Dominance","Passive"
"138","Evocation","Passive"
"139","Illusionist","Passive"
"140","Unstable Anomaly","Passive"
"141","Black Hole","Blazar"
"142","Teleport","Safe Passage"
"143","Hydra","Mammoth Hydra"
"144","Blizzard","Apocalypse"
"145","Energy Armor","Prismatic Armor"
"146","Magic Weapon","Force Weapon"
"147","Unstable Anomaly","Passive"
"148","Illusionist","Passive"
"149","Blur","Passive"
"150","Conflagration","Passive"
"151","Electrocute","Surge of Power"
"152","Arcane Orb","Frozen Orb"
"153","Familiar","Sparkflint"
"154","Teleport","Calamity"
"155","Magic Weapon","Deflection"
"156","Storm Armor","Power of the Storm"
"157","Prodigy","Passive"
"158","Glass Cannon","Passive"
"159","Galvanizing Ward","Passive"
"160","Elemental Exposure","Passive"
"161","Blizzard","Apocalypse"
"162","Hydra","Mammoth Hydra"
"163","Teleport","Calamity"
"164","Magic Weapon","Force Weapon"
"165","Black Hole","Blazar"
"166","Energy Armor","Force Armor"
"167","Unstable Anomaly","Passive"
"168","Blur","Passive"
"169","Glass Cannon","Passive"
"170","Astral Presence","Passive"
