"","Spell","Rune"
"1","Haunt","Poisoned Spirit"
"2","Piranhas","Piranhado"
"3","Spirit Walk","Jaunt"
"4","Soul Harvest","Siphon"
"5","Locust Swarm","Pestilence"
"6","Horrify","Face of Death"
"7","Gruesome Feast","Passive"
"8","Pierce the Veil","Passive"
"9","Spirit Vessel","Passive"
"10","Grave Injustice","Passive"
"11","Locust Swarm","Pestilence"
"12","Haunt","Poisoned Spirit"
"13","Piranhas","Piranhado"
"14","Horrify","Stalker"
"15","Spirit Walk","Jaunt"
"16","Soul Harvest","Siphon"
"17","Pierce the Veil","Passive"
"18","Gruesome Feast","Passive"
"19","Spirit Vessel","Passive"
"20","Creeping Death","Passive"
"21","Haunt","Poisoned Spirit"
"22","Locust Swarm","Pestilence"
"23","Soul Harvest","Siphon"
"24","Spirit Walk","Jaunt"
"25","Piranhas","Piranhado"
"26","Horrify","Stalker"
"27","Pierce the Veil","Passive"
"28","Creeping Death","Passive"
"29","Gruesome Feast","Passive"
"30","Spirit Vessel","Passive"
"31","Poison Dart","Splinters"
"32","Piranhas","Piranhado"
"33","Spirit Walk","Jaunt"
"34","Fetish Army","Legion of Daggers"
"35","Horrify","Stalker"
"36","Big Bad Voodoo","Slam Dance"
"37","Pierce the Veil","Passive"
"38","Fierce Loyalty","Passive"
"39","Fetish Sycophants","Passive"
"40","Grave Injustice","Passive"
"41","Locust Swarm","Pestilence"
"42","Haunt","Poisoned Spirit"
"43","Spirit Walk","Jaunt"
"44","Soul Harvest","Siphon"
"45","Piranhas","Piranhado"
"46","Horrify","Ruthless Terror"
"47","Spirit Vessel","Passive"
"48","Grave Injustice","Passive"
"49","Pierce the Veil","Passive"
"50","Gruesome Feast","Passive"
"51","Fetish Army","Legion of Daggers"
"52","Mass Confusion","Paranoia"
"53","Spirit Walk","Jaunt"
"54","Horrify","Face of Death"
"55","Big Bad Voodoo","Slam Dance"
"56","Piranhas","Piranhado"
"57","Jungle Fortitude","Passive"
"58","Spirit Vessel","Passive"
"59","Grave Injustice","Passive"
"60","Tribal Rites","Passive"
"61","Haunt","Poisoned Spirit"
"62","Locust Swarm","Pestilence"
"63","Spirit Walk","Jaunt"
"64","Horrify","Stalker"
"65","Piranhas","Piranhado"
"66","Soul Harvest","Siphon"
"67","Gruesome Feast","Passive"
"68","Spirit Vessel","Passive"
"69","Creeping Death","Passive"
"70","Grave Injustice","Passive"
"71","Poison Dart","Snake to the Face"
"72","Piranhas","Piranhado"
"73","Summon Zombie Dogs","Life Link"
"74","Horrify","Stalker"
"75","Fetish Army","Legion of Daggers"
"76","Spirit Walk","Jaunt"
"77","Fetish Sycophants","Passive"
"78","Pierce the Veil","Passive"
"79","Fierce Loyalty","Passive"
"80","Spirit Vessel","Passive"
"81","Haunt","Poisoned Spirit"
"82","Locust Swarm","Pestilence"
"83","Spirit Walk","Jaunt"
"84","Soul Harvest","Siphon"
"85","Piranhas","Piranhado"
"86","Horrify","Face of Death"
"87","Grave Injustice","Passive"
"88","Spirit Vessel","Passive"
"89","Creeping Death","Passive"
"90","Pierce the Veil","Passive"
"91","Haunt","Poisoned Spirit"
"92","Spirit Walk","Jaunt"
"93","Soul Harvest","Swallow Your Soul"
"94","Piranhas","Piranhado"
"95","Locust Swarm","Pestilence"
"96","Horrify","Stalker"
"97","Creeping Death","Passive"
"98","Spirit Vessel","Passive"
"99","Grave Injustice","Passive"
"100","Gruesome Feast","Passive"
"101","Haunt","Lingering Spirit"
"102","Locust Swarm","Pestilence"
"103","Soul Harvest","Vengeful Spirit"
"104","Piranhas","Piranhado"
"105","Spirit Walk","Jaunt"
"106","Horrify","Face of Death"
"107","Spirit Vessel","Passive"
"108","Jungle Fortitude","Passive"
"109","Creeping Death","Passive"
"110","Grave Injustice","Passive"
"111","Plague of Toads","Rain of Toads"
"112","Horrify","Face of Death"
"113","Spirit Walk","Jaunt"
"114","Sacrifice","Provoke the Pack"
"115","Fetish Army","Legion of Daggers"
"116","Big Bad Voodoo","Slam Dance"
"117","Spirit Vessel","Passive"
"118","Gruesome Feast","Passive"
"119","Fierce Loyalty","Passive"
"120","Pierce the Veil","Passive"
"121","Piranhas","Piranhado"
"122","Haunt","Poisoned Spirit"
"123","Soul Harvest","Swallow Your Soul"
"124","Spirit Walk","Jaunt"
"125","Horrify","Stalker"
"126","Locust Swarm","Pestilence"
"127","Grave Injustice","Passive"
"128","Pierce the Veil","Passive"
"129","Jungle Fortitude","Passive"
"130","Spirit Vessel","Passive"
"131","Haunt","Poisoned Spirit"
"132","Piranhas","Piranhado"
"133","Spirit Walk","Jaunt"
"134","Horrify","Ruthless Terror"
"135","Locust Swarm","Pestilence"
"136","Soul Harvest","Siphon"
"137","Grave Injustice","Passive"
"138","Gruesome Feast","Passive"
"139","Creeping Death","Passive"
"140","Spirit Vessel","Passive"
"141","Haunt","Poisoned Spirit"
"142","Spirit Walk","Jaunt"
"143","Locust Swarm","Pestilence"
"144","Soul Harvest","Vengeful Spirit"
"145","Piranhas","Piranhado"
"146","Horrify","Face of Death"
"147","Spirit Vessel","Passive"
"148","Pierce the Veil","Passive"
"149","Creeping Death","Passive"
"150","Grave Injustice","Passive"
"151","Haunt","Resentful Spirits"
"152","Locust Swarm","Pestilence"
"153","Horrify","Stalker"
"154","Soul Harvest","Siphon"
"155","Piranhas","Piranhado"
"156","Spirit Walk","Jaunt"
"157","Spirit Vessel","Passive"
"158","Grave Injustice","Passive"
"159","Creeping Death","Passive"
"160","Gruesome Feast","Passive"
"161","Plague of Toads","Rain of Toads"
"162","Sacrifice","Provoke the Pack"
"163","Big Bad Voodoo","Slam Dance"
"164","Fetish Army","Legion of Daggers"
"165","Horrify","Frightening Aspect"
"166","Spirit Walk","Jaunt"
"167","Gruesome Feast","Passive"
"168","Fetish Sycophants","Passive"
"169","Pierce the Veil","Passive"
"170","Spirit Vessel","Passive"
"171","Haunt","Poisoned Spirit"
"172","Horrify","Face of Death"
"173","Spirit Walk","Jaunt"
"174","Piranhas","Piranhado"
"175","Big Bad Voodoo","Slam Dance"
"176","Fetish Army","Tiki Torchers"
"177","Jungle Fortitude","Passive"
"178","Spirit Vessel","Passive"
"179","Grave Injustice","Passive"
"180","Creeping Death","Passive"
"181","Plague of Toads","Rain of Toads"
"182","Sacrifice","Provoke the Pack"
"183","Horrify","Face of Death"
"184","Spirit Walk","Jaunt"
"185","Fetish Army","Legion of Daggers"
"186","Big Bad Voodoo","Slam Dance"
"187","Fetish Sycophants","Passive"
"188","Spirit Vessel","Passive"
"189","Fierce Loyalty","Passive"
"190","Pierce the Veil","Passive"
"191","Fetish Army","Tiki Torchers"
"192","Piranhas","Piranhado"
"193","Horrify","Face of Death"
"194","Mass Confusion","Paranoia"
"195","Big Bad Voodoo","Slam Dance"
"196","Spirit Walk","Jaunt"
"197","Spirit Vessel","Passive"
"198","Zombie Handler","Passive"
"199","Tribal Rites","Passive"
"200","Jungle Fortitude","Passive"
"201","Locust Swarm","Pestilence"
"202","Haunt","Resentful Spirits"
"203","Summon Zombie Dogs","Life Link"
"204","Soul Harvest","Swallow Your Soul"
"205","Spirit Walk","Jaunt"
"206","Horrify","Stalker"
"207","Fierce Loyalty","Passive"
"208","Spirit Vessel","Passive"
"209","Creeping Death","Passive"
"210","Grave Injustice","Passive"
"211","Locust Swarm","Pestilence"
"212","Haunt","Lingering Spirit"
"213","Spirit Walk","Jaunt"
"214","Horrify","Stalker"
"215","Piranhas","Piranhado"
"216","Soul Harvest","Siphon"
"217","Spirit Vessel","Passive"
"218","Grave Injustice","Passive"
"219","Gruesome Feast","Passive"
"220","Creeping Death","Passive"
"221","Locust Swarm","Pestilence"
"222","Spirit Walk","Jaunt"
"223","Horrify","Stalker"
"224","Piranhas","Piranhado"
"225","Soul Harvest","Siphon"
"226","Haunt","Poisoned Spirit"
"227","Creeping Death","Passive"
"228","Pierce the Veil","Passive"
"229","Spirit Vessel","Passive"
"230","Grave Injustice","Passive"
"231","Mass Confusion","Paranoia"
"232","Spirit Walk","Jaunt"
"233","Horrify","Face of Death"
"234","Big Bad Voodoo","Slam Dance"
"235","Piranhas","Piranhado"
"236","Fetish Army","Head Hunters"
"237","Spirit Vessel","Passive"
"238","Tribal Rites","Passive"
"239","Creeping Death","Passive"
"240","Grave Injustice","Passive"
"241","Fetish Army","Head Hunters"
"242","Piranhas","Piranhado"
"243","Spirit Walk","Jaunt"
"244","Big Bad Voodoo","Slam Dance"
"245","Horrify","Face of Death"
"246","Haunt","Poisoned Spirit"
"247","Tribal Rites","Passive"
"248","Spirit Vessel","Passive"
"249","Creeping Death","Passive"
"250","Grave Injustice","Passive"
"251","Haunt","Lingering Spirit"
"252","Locust Swarm","Pestilence"
"253","Piranhas","Piranhado"
"254","Spirit Walk","Jaunt"
"255","Horrify","Face of Death"
"256","Soul Harvest","Siphon"
"257","Grave Injustice","Passive"
"258","Spirit Vessel","Passive"
"259","Creeping Death","Passive"
"260","Pierce the Veil","Passive"
"261","Fetish Army","Legion of Daggers"
"262","Corpse Spiders","Blazing Spiders"
"263","Horrify","Face of Death"
"264","Sacrifice","Provoke the Pack"
"265","Spirit Walk","Jaunt"
"266","Big Bad Voodoo","Slam Dance"
"267","Spirit Vessel","Passive"
"268","Gruesome Feast","Passive"
