"","Spell","Rune"
"1","Haunt","Poisoned Spirit"
"2","Piranhas","Piranhado"
"3","Spirit Walk","Jaunt"
"4","Fetish Army","Legion of Daggers"
"5","Big Bad Voodoo","Slam Dance"
"6","Horrify","Face of Death"
"7","Jungle Fortitude","Passive"
"8","Spirit Vessel","Passive"
"9","Grave Injustice","Passive"
"10","Bad Medicine","Passive"
"11","Poison Dart","Snake to the Face"
"12","Piranhas","Piranhado"
"13","Spirit Walk","Jaunt"
"14","Horrify","Stalker"
"15","Summon Zombie Dogs","Leeching Beasts"
"16","Fetish Army","Legion of Daggers"
"17","Spirit Vessel","Passive"
"18","Fierce Loyalty","Passive"
"19","Grave Injustice","Passive"
"20","Fetish Sycophants","Passive"
"21","Plague of Toads","Rain of Toads"
"22","Piranhas","Piranhado"
"23","Locust Swarm","Pestilence"
"24","Spirit Walk","Jaunt"
"25","Horrify","Stalker"
"26","Summon Zombie Dogs","Life Link"
"27","Pierce the Veil","Passive"
"28","Spirit Vessel","Passive"
"29","Fetish Sycophants","Passive"
"30","Grave Injustice","Passive"
"31","Summon Zombie Dogs","Leeching Beasts"
"32","Plague of Toads","Rain of Toads"
"33","Piranhas","Piranhado"
"34","Spirit Walk","Jaunt"
"35","Big Bad Voodoo","Slam Dance"
"36","Fetish Army","Legion of Daggers"
"37","Pierce the Veil","Passive"
"38","Grave Injustice","Passive"
"39","Spirit Vessel","Passive"
"40","Fetish Sycophants","Passive"
"41","Plague of Toads","Rain of Toads"
"42","Piranhas","Piranhado"
"43","Spirit Walk","Jaunt"
"44","Fetish Army","Legion of Daggers"
"45","Summon Zombie Dogs","Leeching Beasts"
"46","Big Bad Voodoo","Slam Dance"
"47","Grave Injustice","Passive"
"48","Fetish Sycophants","Passive"
"49","Spirit Vessel","Passive"
"50","Pierce the Veil","Passive"
"51","Plague of Toads","Rain of Toads"
"52","Spirit Walk","Jaunt"
"53","Fetish Army","Legion of Daggers"
"54","Piranhas","Frozen Piranhas"
"55","Big Bad Voodoo","Slam Dance"
"56","Summon Zombie Dogs","Leeching Beasts"
"57","Pierce the Veil","Passive"
"58","Spirit Vessel","Passive"
"59","Gruesome Feast","Passive"
"60","Fetish Sycophants","Passive"
"61","Plague of Toads","Rain of Toads"
"62","Big Bad Voodoo","Slam Dance"
"63","Spirit Walk","Jaunt"
"64","Summon Zombie Dogs","Leeching Beasts"
"65","Piranhas","Piranhado"
"66","Fetish Army","Legion of Daggers"
"67","Fetish Sycophants","Passive"
"68","Pierce the Veil","Passive"
"69","Spirit Vessel","Passive"
"70","Gruesome Feast","Passive"
"71","Haunt","Poisoned Spirit"
"72","Piranhas","Piranhado"
"73","Horrify","Spirit Walk"
"74","Jaunt","Mass Confusion"
"75","Paranoia","Big Bad Voodoo"
"76","Slam Dance","Spirit Vessel"
"77","Jungle Fortitude","Passive"
"78","Grave Injustice","Passive"
"79","Tribal Rites","Passive"
"80",NA,"Passive"
"81","Plague of Toads","Rain of Toads"
"82","Big Bad Voodoo","Slam Dance"
"83","Spirit Walk","Jaunt"
"84","Piranhas","Piranhado"
"85","Summon Zombie Dogs","Leeching Beasts"
"86","Fetish Army","Legion of Daggers"
"87","Grave Injustice","Passive"
"88","Fetish Sycophants","Passive"
"89","Pierce the Veil","Passive"
"90","Spirit Vessel","Passive"
"91","Plague of Toads","Rain of Toads"
"92","Piranhas","Piranhado"
"93","Spirit Walk","Healing Journey"
"94","Big Bad Voodoo","Slam Dance"
"95","Fetish Army","Legion of Daggers"
"96","Summon Zombie Dogs","Leeching Beasts"
"97","Spirit Vessel","Passive"
"98","Pierce the Veil","Passive"
"99","Midnight Feast","Passive"
"100","Fetish Sycophants","Passive"
"101","Plague of Toads","Rain of Toads"
"102","Fetish Army","Legion of Daggers"
"103","Piranhas","Wave of Mutilation"
"104","Spirit Walk","Jaunt"
"105","Big Bad Voodoo","Slam Dance"
"106","Summon Zombie Dogs","Leeching Beasts"
"107","Pierce the Veil","Passive"
"108","Spirit Vessel","Passive"
"109","Fetish Sycophants","Passive"
"110","Jungle Fortitude","Passive"
"111","Summon Zombie Dogs","Life Link"
"112","Fetish Army","Legion of Daggers"
"113","Spirit Walk","Jaunt"
"114","Plague of Toads","Rain of Toads"
"115","Soul Harvest","Languish"
"116","Big Bad Voodoo","Slam Dance"
"117","Gruesome Feast","Passive"
"118","Spirit Vessel","Passive"
"119","Pierce the Veil","Passive"
"120","Fetish Sycophants","Passive"
"121","Plague of Toads","Rain of Toads"
"122","Piranhas","Piranhado"
"123","Spirit Walk","Jaunt"
"124","Big Bad Voodoo","Slam Dance"
"125","Fetish Army","Legion of Daggers"
"126","Summon Zombie Dogs","Leeching Beasts"
"127","Fetish Sycophants","Passive"
"128","Fierce Loyalty","Passive"
"129","Spirit Vessel","Passive"
"130","Grave Injustice","Passive"
"131","Plague of Toads","Rain of Toads"
"132","Spirit Walk","Healing Journey"
"133","Big Bad Voodoo","Slam Dance"
"134","Fetish Army","Legion of Daggers"
"135","Summon Zombie Dogs","Leeching Beasts"
"136","Gargantuan","Restless Giant"
"137","Jungle Fortitude","Passive"
"138","Fetish Sycophants","Passive"
"139","Spirit Vessel","Passive"
"140","Pierce the Veil","Passive"
"141","Plague of Toads","Rain of Toads"
"142","Piranhas","Wave of Mutilation"
"143","Big Bad Voodoo","Slam Dance"
"144","Fetish Army","Legion of Daggers"
"145","Spirit Walk","Jaunt"
"146","Summon Zombie Dogs","Leeching Beasts"
"147","Jungle Fortitude","Passive"
"148","Pierce the Veil","Passive"
"149","Spirit Vessel","Passive"
"150","Fetish Sycophants","Passive"
"151","Plague of Toads","Rain of Toads"
"152","Piranhas","Frozen Piranhas"
"153","Spirit Walk","Jaunt"
"154","Big Bad Voodoo","Slam Dance"
"155","Fetish Army","Legion of Daggers"
"156","Summon Zombie Dogs","Leeching Beasts"
"157","Pierce the Veil","Passive"
"158","Spirit Vessel","Passive"
"159","Gruesome Feast","Passive"
"160","Fetish Sycophants","Passive"
"161","Haunt","Poisoned Spirit"
"162","Piranhas","Piranhado"
"163","Horrify","Face of Death"
"164","Spirit Walk","Jaunt"
"165","Big Bad Voodoo","Slam Dance"
"166","Fetish Army","Legion of Daggers"
"167","Grave Injustice","Passive"
"168","Tribal Rites","Passive"
"169","Spirit Vessel","Passive"
"170","Zombie Handler","Passive"
"171","Poison Dart","Snake to the Face"
"172","Haunt","Poisoned Spirit"
"173","Spirit Walk","Jaunt"
"174","Fetish Army","Head Hunters"
"175","Summon Zombie Dogs","Life Link"
"176","Gargantuan","Big Stinker"
"177","Spirit Vessel","Passive"
"178","Fetish Sycophants","Passive"
"179","Pierce the Veil","Passive"
"180","Zombie Handler","Passive"
"181","Plague of Toads","Rain of Toads"
"182","Piranhas","Wave of Mutilation"
"183","Summon Zombie Dogs","Leeching Beasts"
"184","Big Bad Voodoo","Slam Dance"
"185","Spirit Walk","Jaunt"
"186","Fetish Army","Legion of Daggers"
"187","Fetish Sycophants","Passive"
"188","Spirit Vessel","Passive"
"189","Pierce the Veil","Passive"
"190","Jungle Fortitude","Passive"
"191","Corpse Spiders","Spider Queen"
"192","Plague of Toads","Addling Toads"
"193","Fetish Army","Legion of Daggers"
"194","Spirit Walk","Jaunt"
"195","Piranhas","Piranhado"
"196","Acid Cloud","Lob Blob Bomb"
"197","Fetish Sycophants","Passive"
"198","Pierce the Veil","Passive"
"199","Grave Injustice","Passive"
"200","Spirit Vessel","Passive"
"201","Haunt","Resentful Spirits"
"202","Piranhas","Piranhado"
"203","Spirit Walk","Healing Journey"
"204","Locust Swarm","Pestilence"
"205","Summon Zombie Dogs","Life Link"
"206","Soul Harvest","Siphon"
"207","Grave Injustice","Passive"
"208","Spirit Vessel","Passive"
"209","Creeping Death","Passive"
"210","Pierce the Veil","Passive"
"211","Plague of Toads","Rain of Toads"
"212","Gargantuan","Restless Giant"
"213","Fetish Army","Legion of Daggers"
"214","Spirit Walk","Jaunt"
"215","Big Bad Voodoo","Ghost Trance"
"216","Summon Zombie Dogs","Life Link"
"217","Pierce the Veil","Passive"
"218","Gruesome Feast","Passive"
"219","Fetish Sycophants","Passive"
"220","Jungle Fortitude","Passive"
"221","Plague of Toads","Rain of Toads"
"222","Piranhas","Piranhado"
"223","Spirit Walk","Jaunt"
"224","Fetish Army","Legion of Daggers"
"225","Big Bad Voodoo","Slam Dance"
"226","Summon Zombie Dogs","Leeching Beasts"
"227","Fetish Sycophants","Passive"
"228","Grave Injustice","Passive"
"229","Spirit Vessel","Passive"
"230","Pierce the Veil","Passive"
"231","Plague of Toads","Rain of Toads"
"232","Spirit Walk","Jaunt"
"233","Big Bad Voodoo","Slam Dance"
"234","Summon Zombie Dogs","Life Link"
"235","Piranhas","Piranhado"
"236","Fetish Army","Tiki Torchers"
"237","Pierce the Veil","Passive"
"238","Jungle Fortitude","Passive"
"239","Spirit Vessel","Passive"
"240","Fetish Sycophants","Passive"
"241","Plague of Toads","Rain of Toads"
"242","Piranhas","Frozen Piranhas"
"243","Spirit Walk","Healing Journey"
"244","Summon Zombie Dogs","Leeching Beasts"
"245","Fetish Army","Legion of Daggers"
"246","Big Bad Voodoo","Slam Dance"
"247","Midnight Feast","Passive"
"248","Jungle Fortitude","Passive"
