"","Spell","Rune"
"1","Black Hole","Blazar"
"2","Teleport","Wormhole"
"3","Hydra","Mammoth Hydra"
"4","Blizzard","Apocalypse"
"5","Magic Weapon","Force Weapon"
"6","Energy Armor","Prismatic Armor"
"7","Blur","Passive"
"8","Illusionist","Passive"
"9","Dominance","Passive"
"10","Unstable Anomaly","Passive"
"11","Blizzard","Apocalypse"
"12","Black Hole","Blazar"
"13","Hydra","Mammoth Hydra"
"14","Teleport","Wormhole"
"15","Magic Weapon","Force Weapon"
"16","Energy Armor","Prismatic Armor"
"17","Blur","Passive"
"18","Illusionist","Passive"
"19","Dominance","Passive"
"20","Unstable Anomaly","Passive"
"21","Blizzard","Apocalypse"
"22","Hydra","Mammoth Hydra"
"23","Familiar","Sparkflint"
"24","Magic Weapon","Force Weapon"
"25","Teleport","Safe Passage"
"26","Energy Armor","Prismatic Armor"
"27","Blur","Passive"
"28","Glass Cannon","Passive"
"29","Illusionist","Passive"
"30","Unstable Anomaly","Passive"
"31","Hydra","Mammoth Hydra"
"32","Blizzard","Apocalypse"
"33","Black Hole","Blazar"
"34","Magic Weapon","Force Weapon"
"35","Energy Armor","Prismatic Armor"
"36","Teleport","Safe Passage"
"37","Blur","Passive"
"38","Unstable Anomaly","Passive"
"39","Illusionist","Passive"
"40","Dominance","Passive"
"41","Hydra","Mammoth Hydra"
"42","Blizzard","Apocalypse"
"43","Magic Weapon","Force Weapon"
"44","Black Hole","Blazar"
"45","Energy Armor","Prismatic Armor"
"46","Teleport","Safe Passage"
"47","Blur","Passive"
"48","Illusionist","Passive"
"49","Unstable Anomaly","Passive"
"50","Glass Cannon","Passive"
"51","Black Hole","Blazar"
"52","Blizzard","Apocalypse"
"53","Magic Weapon","Force Weapon"
"54","Hydra","Mammoth Hydra"
"55","Teleport","Safe Passage"
"56","Energy Armor","Prismatic Armor"
"57","Evocation","Passive"
"58","Illusionist","Passive"
"59","Blur","Passive"
"60","Unstable Anomaly","Passive"
"61","Blizzard","Apocalypse"
"62","Hydra","Mammoth Hydra"
"63","Black Hole","Blazar"
"64","Magic Weapon","Force Weapon"
"65","Teleport","Wormhole"
"66","Energy Armor","Prismatic Armor"
"67","Blur","Passive"
"68","Illusionist","Passive"
"69","Evocation","Passive"
"70","Unstable Anomaly","Passive"
"71","Blizzard","Apocalypse"
"72","Black Hole","Blazar"
"73","Energy Armor","Prismatic Armor"
"74","Magic Weapon","Force Weapon"
"75","Teleport","Safe Passage"
"76","Hydra","Mammoth Hydra"
"77","Blur","Passive"
"78","Illusionist","Passive"
"79","Unstable Anomaly","Passive"
"80","Glass Cannon","Passive"
"81","Blizzard","Apocalypse"
"82","Hydra","Mammoth Hydra"
"83","Black Hole","Blazar"
"84","Teleport","Safe Passage"
"85","Magic Weapon","Force Weapon"
"86","Energy Armor","Prismatic Armor"
"87","Glass Cannon","Passive"
"88","Illusionist","Passive"
"89","Blur","Passive"
"90","Unstable Anomaly","Passive"
"91","Disintegrate","Chaos Nexus"
"92","Black Hole","Event Horizon"
"93","Familiar","Arcanot"
"94","Teleport","Safe Passage"
"95","Magic Weapon","Force Weapon"
"96","Energy Armor","Prismatic Armor"
"97","Blur","Passive"
"98","Unwavering Will","Passive"
"99","Illusionist","Passive"
"100","Unstable Anomaly","Passive"
"101","Spectral Blade","Flame Blades"
"102","Teleport","Calamity"
"103","Black Hole","Blazar"
"104","Explosive Blast","Chain Reaction"
"105","Magic Weapon","Force Weapon"
"106","Energy Armor","Prismatic Armor"
"107","Evocation","Passive"
"108","Arcane Dynamo","Passive"
"109","Unstable Anomaly","Passive"
"110","Dominance","Passive"
"111","Blizzard","Apocalypse"
"112","Hydra","Mammoth Hydra"
"113","Black Hole","Blazar"
"114","Teleport","Wormhole"
"115","Magic Weapon","Force Weapon"
"116","Energy Armor","Prismatic Armor"
"117","Dominance","Passive"
"118","Illusionist","Passive"
"119","Blur","Passive"
"120","Unstable Anomaly","Passive"
"121","Blizzard","Apocalypse"
"122","Teleport","Wormhole"
"123","Hydra","Mammoth Hydra"
"124","Black Hole","Blazar"
"125","Magic Weapon","Force Weapon"
"126","Energy Armor","Pinpoint Barrier"
"127","Blur","Passive"
"128","Unstable Anomaly","Passive"
"129","Illusionist","Passive"
"130","Evocation","Passive"
"131","Disintegrate","Chaos Nexus"
"132","Teleport","Wormhole"
"133","Electrocute","Chain Lightning"
"134","Black Hole","Spellsteal"
"135","Magic Weapon","Force Weapon"
"136","Energy Armor","Prismatic Armor"
"137","Prodigy","Passive"
"138","Unstable Anomaly","Passive"
"139","Arcane Dynamo","Passive"
"140","Unwavering Will","Passive"
"141","Hydra","Mammoth Hydra"
"142","Black Hole","Blazar"
"143","Magic Weapon","Force Weapon"
"144","Energy Armor","Prismatic Armor"
"145","Blizzard","Apocalypse"
"146","Teleport","Safe Passage"
"147","Blur","Passive"
"148","Illusionist","Passive"
"149","Unstable Anomaly","Passive"
"150","Dominance","Passive"
"151","Blizzard","Apocalypse"
"152","Hydra","Mammoth Hydra"
"153","Frost Nova","Bone Chill"
"154","Teleport","Wormhole"
"155","Magic Weapon","Force Weapon"
"156","Ice Armor","Crystallize"
"157","Astral Presence","Passive"
"158","Blur","Passive"
"159","Unstable Anomaly","Passive"
"160","Dominance","Passive"
"161","Blizzard","Apocalypse"
"162","Hydra","Mammoth Hydra"
"163","Teleport","Safe Passage"
"164","Black Hole","Blazar"
"165","Magic Weapon","Force Weapon"
"166","Energy Armor","Prismatic Armor"
